family,comparator,n,full_mean_loss,comparator_mean_loss,mean_delta_full_minus_comparator,ci_low,ci_high,raw_p,rank_biserial,dataset,rho,holm_p,holm_significant,direction,holm_direction,attack,scenario
A3-behavior-switch,Tuned-EMA-TL,15,0.2316128810030732,0.234130769308211,-0.002517888305137803,-0.004739294320674927,-0.0003272250153579913,0.0496826171875,-0.5666666666666667,product,,0.19873046875,False,full_win,not_significant,,malicious_to_benign
A3-behavior-switch,Tuned-EMA-TL,15,0.15958319817989589,0.16426607208642496,-0.0046828739065291,-0.005845054904997464,-0.0034205126606734453,0.0001220703125,-0.9833333333333333,weather,,0.000732421875,True,full_win,full_win,,benign_to_malicious
A3-behavior-switch,Tuned-EMA-TL,15,0.025011894588222873,0.02495026797665246,6.1626611570411e-05,-0.00038346296355045513,0.0005174835399306979,0.8021240234375,0.03333333333333333,weather,,0.8021240234375,False,comparator_win,not_significant,,malicious_to_benign
A1-persistent-ratio,Window-COWA,20,0.17598711116756138,0.18034545571759394,-0.0043583445500325725,-0.006671195472784979,-0.0019873780885280024,0.0031223297119140625,-0.7142857142857143,dog,1/10,0.009366989135742188,True,full_win,full_win,,
A1-persistent-ratio,Window-COWA,20,0.41065705849890827,0.35097892128879915,0.059678137210109165,0.05393202946037472,0.0652768186904399,1.9073486328125e-06,1.0,dog,1/2,3.814697265625e-05,True,comparator_win,comparator_win,,
A1-persistent-ratio,Window-COWA,20,0.2445972756710702,0.22964362018675394,0.014953655484316248,0.010380827817665582,0.019384211205530577,2.47955322265625e-05,0.9428571428571428,dog,3/10,0.000148773193359375,True,comparator_win,comparator_win,,
A1-persistent-ratio,Window-COWA,20,0.6720027106281552,0.5899558186687864,0.08204689195936876,0.0745313127033887,0.08941922654189846,1.9073486328125e-06,1.0,dog,7/10,3.814697265625e-05,True,comparator_win,comparator_win,,
A1-persistent-ratio,Window-COWA,20,0.8672956168832799,0.8230536124872632,0.044242004396016776,0.03845920262750703,0.05038960362926801,1.9073486328125e-06,1.0,dog,9/10,3.814697265625e-05,True,comparator_win,comparator_win,,
A1-persistent-ratio,Window-COWA,20,0.26298076923076924,0.25576923076923075,0.00721153846153846,0.0038461538461538416,0.01009615384615386,0.001251220703125,0.7254901960784313,duck,1/10,0.0050048828125,True,comparator_win,comparator_win,,
A1-persistent-ratio,Window-COWA,20,0.36153846153846153,0.2730769230769231,0.08846153846153845,0.05721153846153846,0.12212740384615368,3.814697265625e-06,0.9904761904761905,duck,1/2,3.814697265625e-05,True,comparator_win,comparator_win,,
