family,contrast,n,candidate_mean_loss,comparator_mean_loss,mean_delta_candidate_minus_comparator,ci_low,ci_high,raw_p,rank_biserial,dataset,rho,holm_p,holm_significant,direction,attack,scenario
A1-persistent-ratio,Tuned-LIR-vs-Tuned-EMA,20,0.5040266120095481,0.5234707670298427,-0.019444155020294694,-0.020656058836986305,-0.018308952210683523,1.9073486328125e-06,-1.0,product,7/10,3.814697265625e-05,True,candidate_win,,
A1-persistent-ratio,Tuned-LIR-vs-Tuned-EMA,20,0.6711958143536239,0.6839577650569708,-0.01276195070334712,-0.013857887558048466,-0.011681787724506856,1.9073486328125e-06,-1.0,product,9/10,3.814697265625e-05,True,candidate_win,,
A1-persistent-ratio,Tuned-LIR-vs-Tuned-EMA,9,0.025825367548440628,0.027717313227529676,-0.0018919456790890499,-0.002090606353250903,-0.0017597084707719976,0.00390625,-1.0,weather,1/10,0.02734375,True,candidate_win,,
A1-persistent-ratio,Tuned-LIR-vs-Tuned-EMA,20,0.0971991167454498,0.12243106110495224,-0.02523194435950244,-0.025608293209329593,-0.024843578089311705,1.9073486328125e-06,-1.0,weather,1/2,3.814697265625e-05,True,candidate_win,,
A1-persistent-ratio,Tuned-LIR-vs-Tuned-EMA,20,0.04878676005135827,0.06079005747418289,-0.012003297422824624,-0.012442856618074472,-0.011539495827750587,1.9073486328125e-06,-1.0,weather,3/10,3.814697265625e-05,True,candidate_win,,
A1-persistent-ratio,Tuned-LIR-vs-Tuned-EMA,20,0.13354564898100627,0.16291006472631073,-0.029364415745304455,-0.029890602207408565,-0.028836478646993905,1.9073486328125e-06,-1.0,weather,7/10,3.814697265625e-05,True,candidate_win,,
A1-persistent-ratio,Tuned-LIR-vs-Tuned-EMA,9,0.23542427158400286,0.2505766520538758,-0.015152380469872936,-0.01688251794109379,-0.013313383425877573,0.00390625,-1.0,weather,9/10,0.02734375,True,candidate_win,,
A2-attack-rho07,Tuned-LIR-vs-Tuned-EMA,20,0.47356001162656536,0.5424349351898028,-0.06887492356323736,-0.07667400180559633,-0.060882691140063255,1.9073486328125e-06,-1.0,dog,,2.288818359375e-05,True,candidate_win,collusive,
A2-attack-rho07,Tuned-LIR-vs-Tuned-EMA,20,0.38304291490843617,0.3929515940882917,-0.009908679179855521,-0.012314474783729233,-0.007413215443595499,1.1444091796875e-05,-0.9619047619047619,dog,,8.0108642578125e-05,True,candidate_win,on_off,
A2-attack-rho07,Tuned-LIR-vs-Tuned-EMA,20,0.31502522963615764,0.3092328903985852,0.00579233923757248,0.0013039938624438635,0.010161531775101158,0.023469924926757812,0.5428571428571428,dog,,0.09387969970703125,False,comparator_win,random,
A2-attack-rho07,Tuned-LIR-vs-Tuned-EMA,20,0.46153846153846156,0.46153846153846156,0.0,0.0,0.0,1.0,0.0,duck,,1.0,False,tie,collusive,
A2-attack-rho07,Tuned-LIR-vs-Tuned-EMA,20,0.3591346153846154,0.35625,0.002884615384615395,0.0009615384615384601,0.00528846153846156,0.0625,1.0,duck,,0.125,False,comparator_win,on_off,
A2-attack-rho07,Tuned-LIR-vs-Tuned-EMA,20,0.2793269230769231,0.2932692307692307,-0.013942307692307693,-0.025961538461538453,-0.003365384615384603,0.02838134765625,-0.6083333333333333,duck,,0.09387969970703125,False,candidate_win,random,
A2-attack-rho07,Tuned-LIR-vs-Tuned-EMA,20,0.39508974884969,0.39930997692176584,-0.004220228072075819,-0.0058897837084698965,-0.0026745798597547117,1.33514404296875e-05,-0.9619047619047619,product,,8.0108642578125e-05,True,candidate_win,collusive,
A2-attack-rho07,Tuned-LIR-vs-Tuned-EMA,20,0.2865364344472454,0.29029600911966924,-0.0037595746724238153,-0.004802145992829308,-0.0026705135059555828,1.52587890625e-05,-0.9523809523809523,product,,8.0108642578125e-05,True,candidate_win,on_off,
A2-attack-rho07,Tuned-LIR-vs-Tuned-EMA,20,0.3895430710468438,0.40621176760062633,-0.016668696553782482,-0.017741275967948698,-0.015654392068287733,1.9073486328125e-06,-1.0,product,,2.288818359375e-05,True,candidate_win,random,
A2-attack-rho07,Tuned-LIR-vs-Tuned-EMA,20,0.18520725653511133,0.24330006993466968,-0.05809281339955837,-0.05980830153165706,-0.05620086726539659,1.9073486328125e-06,-1.0,weather,,2.288818359375e-05,True,candidate_win,collusive,
A2-attack-rho07,Tuned-LIR-vs-Tuned-EMA,20,0.15969413906254037,0.18468923282283867,-0.02499509376029829,-0.02704794836913796,-0.022938104207849405,1.9073486328125e-06,-1.0,weather,,2.288818359375e-05,True,candidate_win,on_off,
A2-attack-rho07,Tuned-LIR-vs-Tuned-EMA,20,0.0836111884117807,0.09172210157707732,-0.008110913165296623,-0.008692530123030132,-0.007488251151409055,1.9073486328125e-06,-1.0,weather,,2.288818359375e-05,True,candidate_win,random,
A3-behavior-switch,Tuned-LIR-vs-Tuned-EMA,15,0.5848824961456918,0.646155916814527,-0.061273420668835246,-0.07000406640989414,-0.0528770944627942,6.103515625e-05,-1.0,dog,,0.00048828125,True,candidate_win,,benign_to_malicious
A3-behavior-switch,Tuned-LIR-vs-Tuned-EMA,15,0.18422853351788115,0.16849116627672173,0.01573736724115943,0.012666108188447676,0.018914511999383293,6.103515625e-05,1.0,dog,,0.00048828125,True,comparator_win,,malicious_to_benign
A3-behavior-switch,Tuned-LIR-vs-Tuned-EMA,15,0.619753086419753,0.6271604938271605,-0.007407407407407425,-0.02098765432098767,0.004938271604938269,0.26953125,-0.3939393939393939,duck,,0.26953125,False,candidate_win,,benign_to_malicious
A3-behavior-switch,Tuned-LIR-vs-Tuned-EMA,15,0.31975308641975314,0.337037037037037,-0.017283950617283928,-0.03209876543209873,-0.004938271604938262,0.02734375,-0.8,duck,,0.0546875,False,candidate_win,,malicious_to_benign
A3-behavior-switch,Tuned-LIR-vs-Tuned-EMA,15,0.5124462867604881,0.5402335216902728,-0.027787234929784806,-0.030205329321161264,-0.02525035012405488,6.103515625e-05,-1.0,product,,0.00048828125,True,candidate_win,,benign_to_malicious
A3-behavior-switch,Tuned-LIR-vs-Tuned-EMA,15,0.22940872271788149,0.234130769308211,-0.004722046590329504,-0.005593910990639295,-0.003815172321555122,6.103515625e-05,-1.0,product,,0.00048828125,True,candidate_win,,malicious_to_benign
