family,dataset,scenario,replicate,fast_cowa_loss,exact_cowa_loss,abs_diff,match
A3,product,malicious_to_benign,19,0.24889381770115715,0.24889381770115715,0.0,True
A3,product,malicious_to_benign,20,0.2718224048474627,0.2718224048474627,0.0,True
A3,duck,benign_to_malicious,6,0.7037037037037037,0.7037037037037037,0.0,True
A3,duck,benign_to_malicious,7,0.4814814814814815,0.4814814814814815,0.0,True
A3,duck,benign_to_malicious,8,0.5740740740740741,0.5740740740740741,0.0,True
A3,duck,benign_to_malicious,9,0.6481481481481481,0.6481481481481481,0.0,True
A3,duck,benign_to_malicious,10,0.7222222222222222,0.7222222222222222,0.0,True
A3,duck,benign_to_malicious,11,0.4629629629629629,0.4629629629629629,0.0,True
A3,duck,benign_to_malicious,12,0.5740740740740741,0.5740740740740741,0.0,True
A3,duck,benign_to_malicious,13,0.6666666666666667,0.6666666666666667,0.0,True
A3,duck,benign_to_malicious,14,0.7777777777777778,0.7777777777777778,0.0,True
A3,duck,benign_to_malicious,15,0.7592592592592593,0.7592592592592593,0.0,True
A3,duck,benign_to_malicious,16,0.6851851851851851,0.6851851851851851,0.0,True
A3,duck,benign_to_malicious,17,0.5740740740740741,0.5740740740740741,0.0,True
A3,duck,benign_to_malicious,18,0.5740740740740741,0.5740740740740741,0.0,True
A3,duck,benign_to_malicious,19,0.4629629629629629,0.4629629629629629,0.0,True
A3,duck,benign_to_malicious,20,0.5555555555555556,0.5555555555555556,0.0,True
A3,duck,malicious_to_benign,6,0.35185185185185186,0.35185185185185186,0.0,True
A3,duck,malicious_to_benign,7,0.2962962962962963,0.2962962962962963,0.0,True
A3,duck,malicious_to_benign,8,0.35185185185185186,0.35185185185185186,0.0,True
A3,duck,malicious_to_benign,9,0.33333333333333337,0.33333333333333337,0.0,True
A3,duck,malicious_to_benign,10,0.35185185185185186,0.35185185185185186,0.0,True
A3,duck,malicious_to_benign,11,0.33333333333333337,0.33333333333333337,0.0,True
A3,duck,malicious_to_benign,12,0.2962962962962963,0.2962962962962963,0.0,True
A3,duck,malicious_to_benign,13,0.35185185185185186,0.35185185185185186,0.0,True
A3,duck,malicious_to_benign,14,0.37037037037037035,0.37037037037037035,0.0,True
A3,duck,malicious_to_benign,15,0.35185185185185186,0.35185185185185186,0.0,True
A3,duck,malicious_to_benign,16,0.37037037037037035,0.37037037037037035,0.0,True
A3,duck,malicious_to_benign,17,0.35185185185185186,0.35185185185185186,0.0,True
A3,duck,malicious_to_benign,18,0.35185185185185186,0.35185185185185186,0.0,True
A3,duck,malicious_to_benign,19,0.2962962962962963,0.2962962962962963,0.0,True
A3,duck,malicious_to_benign,20,0.2222222222222222,0.2222222222222222,0.0,True
A3,dog,benign_to_malicious,6,0.6791850445875326,0.6791850445875326,0.0,True
A3,dog,benign_to_malicious,7,0.7372755401204275,0.7372755401204275,0.0,True
A3,dog,benign_to_malicious,8,0.8038533715284474,0.8038533715284474,0.0,True
A3,dog,benign_to_malicious,9,0.7321648799406537,0.7321648799406537,0.0,True
A3,dog,benign_to_malicious,10,0.8052299246114195,0.8052299246114195,0.0,True
A3,dog,benign_to_malicious,11,0.7598584204835603,0.7598584204835603,0.0,True
A3,dog,benign_to_malicious,12,0.6429831328328626,0.6429831328328626,0.0,True
A3,dog,benign_to_malicious,13,0.7300109722293517,0.7300109722293517,0.0,True
A3,dog,benign_to_malicious,14,0.6407996472489754,0.6407996472489754,0.0,True
A3,dog,benign_to_malicious,15,0.7477443033487652,0.7477443033487652,0.0,True
A3,dog,benign_to_malicious,16,0.6213028009971867,0.6213028009971867,0.0,True
A3,dog,benign_to_malicious,17,0.5707962193098562,0.5707962193098562,0.0,True
A3,dog,benign_to_malicious,18,0.7078097266785865,0.7078097266785865,0.0,True
A3,dog,benign_to_malicious,19,0.729508421925197,0.729508421925197,0.0,True
A3,dog,benign_to_malicious,20,0.7305742900662997,0.7305742900662997,0.0,True
A3,dog,malicious_to_benign,6,0.18128067543523196,0.18128067543523196,0.0,True
A3,dog,malicious_to_benign,7,0.17641588112277584,0.17641588112277584,0.0,True
A3,dog,malicious_to_benign,8,0.17264019678450715,0.17264019678450715,0.0,True
A3,dog,malicious_to_benign,9,0.18648479622271863,0.18648479622271863,0.0,True
A3,dog,malicious_to_benign,10,0.18990817740817745,0.18990817740817745,0.0,True
A3,dog,malicious_to_benign,11,0.19276556489388497,0.19276556489388497,0.0,True
A3,dog,malicious_to_benign,12,0.1795785433706959,0.1795785433706959,0.0,True
A3,dog,malicious_to_benign,13,0.185114925033659,0.185114925033659,0.0,True
A3,dog,malicious_to_benign,14,0.19523817611400474,0.19523817611400474,0.0,True
A3,dog,malicious_to_benign,15,0.19619530570718935,0.19619530570718935,0.0,True
A3,dog,malicious_to_benign,16,0.1726909172235147,0.1726909172235147,0.0,True
A3,dog,malicious_to_benign,17,0.17028779154445373,0.17028779154445373,0.0,True
A3,dog,malicious_to_benign,18,0.18896828450502934,0.18896828450502934,0.0,True
A3,dog,malicious_to_benign,19,0.1875233344718341,0.1875233344718341,0.0,True
A3,dog,malicious_to_benign,20,0.19379680189215243,0.19379680189215243,0.0,True
A3,weather,benign_to_malicious,6,0.18813070853233319,0.188130708532333,1.942890293094024e-16,True
A3,weather,benign_to_malicious,7,0.1911013162000645,0.19110131620006468,1.6653345369377348e-16,True
A3,weather,benign_to_malicious,8,0.1891940004082591,0.18919400040825893,1.6653345369377348e-16,True
A3,weather,benign_to_malicious,9,0.18317681682936413,0.18317681682936401,1.1102230246251565e-16,True
A3,weather,benign_to_malicious,10,0.1948261813039134,0.19482618130391327,1.3877787807814457e-16,True
A3,weather,benign_to_malicious,11,0.1864470310552002,0.18644703105520027,8.326672684688674e-17,True
