D,m,rep,method,seconds,share_secret,reconstruct,local_add,local_sub,secure_mul,secure_sqr,secure_div,public_mul,public_mul_local,public_mul_rescaled,nonlinear_or_rescaled_calls,high_level_calls
2,200,1,full,0.30145111799993174,13022,21646,11167,4400,6400,4400,2222,0,0,0,13022,13022
2,200,1,fast,0.010466084000199771,402,806,797,0,400,0,2,0,0,0,402,402
2,200,2,full,0.2986813570000777,13022,21646,11167,4400,6400,4400,2222,0,0,0,13022,13022
2,200,2,fast,0.010505213999749685,402,806,797,0,400,0,2,0,0,0,402,402
2,200,3,full,0.3011284539998087,13022,21646,11167,4400,6400,4400,2222,0,0,0,13022,13022
2,200,3,fast,0.010729393000019627,402,806,797,0,400,0,2,0,0,0,402,402
2,200,4,full,0.3047479749998274,13022,21646,11167,4400,6400,4400,2222,0,0,0,13022,13022
2,200,4,fast,0.010381801000221458,402,806,797,0,400,0,2,0,0,0,402,402
2,200,5,full,0.30043527099996936,13022,21646,11167,4400,6400,4400,2222,0,0,0,13022,13022
2,200,5,fast,0.010348269999667536,402,806,797,0,400,0,2,0,0,0,402,402
2,200,6,full,0.34184561999973084,13022,21646,11167,4400,6400,4400,2222,0,0,0,13022,13022
2,200,6,fast,0.012363236000055622,402,806,797,0,400,0,2,0,0,0,402,402
2,200,7,full,0.323361993999697,13022,21646,11167,4400,6400,4400,2222,0,0,0,13022,13022
2,200,7,fast,0.011047034000057465,402,806,797,0,400,0,2,0,0,0,402,402
2,200,8,full,0.3033337020001454,13022,21646,11167,4400,6400,4400,2222,0,0,0,13022,13022
2,200,8,fast,0.01041639999994004,402,806,797,0,400,0,2,0,0,0,402,402
2,200,9,full,0.30139380899981916,13022,21646,11167,4400,6400,4400,2222,0,0,0,13022,13022
2,200,9,fast,0.010387502999947174,402,806,797,0,400,0,2,0,0,0,402,402
2,200,10,full,0.3003858060001221,13022,21646,11167,4400,6400,4400,2222,0,0,0,13022,13022
2,200,10,fast,0.01023908700017273,402,806,797,0,400,0,2,0,0,0,402,402
2,200,11,full,0.2990412379999725,13022,21646,11167,4400,6400,4400,2222,0,0,0,13022,13022
2,200,11,fast,0.010263873999974749,402,806,797,0,400,0,2,0,0,0,402,402
2,200,12,full,0.30206074700026875,13022,21646,11167,4400,6400,4400,2222,0,0,0,13022,13022
2,200,12,fast,0.01052115699985734,402,806,797,0,400,0,2,0,0,0,402,402
2,200,13,full,0.31253950499967686,13022,21646,11167,4400,6400,4400,2222,0,0,0,13022,13022
2,200,13,fast,0.01027278399988063,402,806,797,0,400,0,2,0,0,0,402,402
2,200,14,full,0.2988819480001439,13022,21646,11167,4400,6400,4400,2222,0,0,0,13022,13022
2,200,14,fast,0.010314326999832701,402,806,797,0,400,0,2,0,0,0,402,402
2,200,15,full,0.300830440000027,13022,21646,11167,4400,6400,4400,2222,0,0,0,13022,13022
2,200,15,fast,0.010435019999931683,402,806,797,0,400,0,2,0,0,0,402,402
2,200,16,full,0.3023594889996275,13022,21646,11167,4400,6400,4400,2222,0,0,0,13022,13022
2,200,16,fast,0.010230611000224599,402,806,797,0,400,0,2,0,0,0,402,402
2,200,17,full,0.29962518599995747,13022,21646,11167,4400,6400,4400,2222,0,0,0,13022,13022
2,200,17,fast,0.010237964000225475,402,806,797,0,400,0,2,0,0,0,402,402
2,200,18,full,0.2989455430001726,13022,21646,11167,4400,6400,4400,2222,0,0,0,13022,13022
2,200,18,fast,0.01027444099963759,402,806,797,0,400,0,2,0,0,0,402,402
2,200,19,full,0.30073052000034295,13022,21646,11167,4400,6400,4400,2222,0,0,0,13022,13022
2,200,19,fast,0.010313338999822008,402,806,797,0,400,0,2,0,0,0,402,402
