pairing_id,method,input_identity_match,paper_metric_old,paper_metric_geometry,paper_metric_abs_diff,tau_dependency,final_disposition,evidence_path
dataset=dog|rho=7/10|scenario=benign_to_malicious|rep=9|subset=892d471c4bc9f170cb4509af766c119d8438bec502dfa76048ab354ef63d294d,no_hr,True,0.19959609270224643,0.19959609270224643,0.0,no_persistent_q_path,geometry_rerun_verified_equivalent,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=malicious_to_benign|rep=10|subset=fd9e2bce283b09c07e2c677039acd5fc722e740f8322567aa6bfd9d29fe149b7,cowa,True,0.8186448083061317,0.8100918225918226,0.00855298571430918,yes,use_geometry_rerun,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=malicious_to_benign|rep=10|subset=fd9e2bce283b09c07e2c677039acd5fc722e740f8322567aa6bfd9d29fe149b7,lir_pptd,True,0.8278695820383826,0.8255768878410388,0.002292694197343792,yes,use_geometry_rerun,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=malicious_to_benign|rep=10|subset=fd9e2bce283b09c07e2c677039acd5fc722e740f8322567aa6bfd9d29fe149b7,no_cw,True,0.8278695820383826,0.8255768878410388,0.002292694197343792,yes,use_geometry_rerun,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=malicious_to_benign|rep=10|subset=fd9e2bce283b09c07e2c677039acd5fc722e740f8322567aa6bfd9d29fe149b7,no_hr,True,0.8197762444539132,0.8197762444539132,0.0,no_persistent_q_path,geometry_rerun_verified_equivalent,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=malicious_to_benign|rep=11|subset=052b20a1b4ad5f00596a60bbd41749887b50b8bec54f8029cab5716618190764,cowa,True,0.8149997761291701,0.807234435106115,0.007765341023055039,yes,use_geometry_rerun,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=malicious_to_benign|rep=11|subset=052b20a1b4ad5f00596a60bbd41749887b50b8bec54f8029cab5716618190764,lir_pptd,True,0.8243191899521014,0.8243684954049942,4.9305452892833834e-05,yes,use_geometry_rerun,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=malicious_to_benign|rep=11|subset=052b20a1b4ad5f00596a60bbd41749887b50b8bec54f8029cab5716618190764,no_cw,True,0.8243191899521014,0.8243684954049942,4.9305452892833834e-05,yes,use_geometry_rerun,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=malicious_to_benign|rep=11|subset=052b20a1b4ad5f00596a60bbd41749887b50b8bec54f8029cab5716618190764,no_hr,True,0.8197762444539132,0.8197762444539132,0.0,no_persistent_q_path,geometry_rerun_verified_equivalent,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=malicious_to_benign|rep=12|subset=8cac7f094ae7381a3848d6f444f65dd27a47d00d8fb541621b49533d0807b3ee,cowa,True,0.822796740259986,0.8204214566293041,0.002375283630681846,yes,use_geometry_rerun,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=malicious_to_benign|rep=12|subset=8cac7f094ae7381a3848d6f444f65dd27a47d00d8fb541621b49533d0807b3ee,lir_pptd,True,0.8323282438870773,0.8346038197705945,0.0022755758835172335,yes,use_geometry_rerun,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
