D,rho,support_regime,legacy_loss,geometry_loss,loss_diff,ci_low,ci_high,p_exact,rank_biserial_loss,legacy_Accuracy,geometry_Accuracy,legacy_MacroF1,geometry_MacroF1,legacy_q_correct,geometry_q_correct,legacy_q_wrong,geometry_q_wrong,legacy_q_separation,geometry_q_separation,legacy_delta_c,geometry_delta_c,legacy_A_H,geometry_A_H,legacy_A_M,geometry_A_M,legacy_A_M_over_A_H,geometry_A_M_over_A_H,legacy_tie_rate,geometry_tie_rate,legacy_score_margin,geometry_score_margin,failure_count,n,holm_p
16,0.5,binary_support,0.3298957319773768,0.1431954076484371,-0.1867003243289397,-0.2078727383778536,-0.1656782169450214,1.9073486328125e-06,-1.0,0.6701042680226231,0.8568045923515628,0.6590749080946157,0.8494512035292242,1.0,1.0,0.6153846153846152,0.1666666666666666,0.3846153846153847,0.8333333333333333,0.2642038792943166,0.4814754614008291,0.5757407404607816,0.4703466077638767,0.421509748298477,0.1200807234906458,0.7375885027098577,0.2685139295006439,0.0115367941648756,0.0115367941648756,0.1420661716508304,0.6998741898194674,0,20,5.7220458984375e-05
16,0.5,full_support,0.089622369150944,0.0436667025989721,-0.0459556665519719,-0.0604694086019442,-0.0327665040752474,1.9073486328125e-06,-1.0,0.910377630849056,0.956333297401028,0.9066302536350594,0.9542844313746264,1.0,1.0,0.6153846153846152,0.1666666666666666,0.3846153846153847,0.8333333333333333,0.2642038792943166,0.4814754614008291,0.5724094926129901,0.492581668943351,0.4111336059295111,0.097780688254423,0.7238823768821205,0.2052829139457116,0.0109775876544752,0.0109775876544752,0.1835243616524766,0.7389371829798467,0,20,5.7220458984375e-05
16,0.7,binary_support,0.9886240940150132,0.6554021788525579,-0.3332219151624553,-0.4118035896251883,-0.2529661468789537,1.9073486328125e-06,-1.0,0.0113759059849867,0.3445978211474421,0.0109405417521513,0.3370967780155667,1.0,1.0,0.6153846153846152,0.1666666666666667,0.3846153846153847,0.8333333333333333,0.2645703353227674,0.48163384864572,0.529775287142681,0.3153651457379812,0.4552346202868563,0.219191956337655,0.8656932295660515,0.7944021602155854,0.0,0.0,0.3391026637656452,0.6630586735599305,0,20,5.7220458984375e-05
16,0.7,full_support,0.981771395599881,0.5293735897248099,-0.452397805875071,-0.5467386948312397,-0.360070257947514,1.9073486328125e-06,-1.0,0.018228604400119,0.4706264102751901,0.0175633943557387,0.4614325926103488,1.0,1.0,0.6153846153846152,0.1666666666666667,0.3846153846153847,0.8333333333333333,0.2645703353227674,0.48163384864572,0.5145384496390528,0.3109902695651898,0.4508249763928773,0.1986434358647077,0.8832626564367049,0.801770393961298,0.0,0.0,0.2775820498815183,0.6300271524126392,0,20,5.7220458984375e-05
32,0.3,binary_support,0.0052266206082641,0.0013063477275036,-0.0039202728807604,-0.0054883990882533,-0.0023548299749366,0.00048828125,-1.0,0.994773379391736,0.9986936522724964,0.9935591039852968,0.9970141765913824,1.0,1.0,0.7619047619047619,0.1666666666666666,0.2380952380952381,0.8333333333333333,0.1748544201154405,0.4851266074408848,0.6362234422009453,0.5257928565149819,0.4988802630402896,0.0836216245919375,0.78712707340455,0.1615901323510185,0.0007785652920962,0.0007785652920962,0.3425115216868619,0.846924249151364,0,20,0.0068359375
32,0.3,full_support,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.9984375,0.9984375,1.0,1.0,0.7619047619047619,0.1666666666666666,0.2380952380952381,0.8333333333333333,0.1748544201154405,0.4851266074408848,0.6348388268214518,0.5306143543004038,0.4896323119914825,0.0816243932494701,0.77424538264641,0.1561278663867061,0.0,0.0,0.4549024234727093,0.8867341251085394,0,20,1.0
32,0.5,binary_support,0.4610360077882293,0.1426718330870336,-0.3183641747011956,-0.3404836762898521,-0.2958848648134789,1.9073486328125e-06,-1.0,0.5389639922117707,0.8573281669129663,0.5140007500282888,0.8440322543321821,1.0,1.0,0.7619047619047619,0.1666666666666666,0.2380952380952382,0.8333333333333333,0.1734199813236773,0.4814754614008291,0.6202426830002329,0.4703466077638767,0.5220393003665517,0.1200807234906458,0.8449827566620469,0.2685139295006439,0.0115367941648756,0.0115367941648756,0.1032639166143872,0.6998741898194674,0,20,5.7220458984375e-05
32,0.5,full_support,0.1446832694335734,0.0392157171468826,-0.1054675522866908,-0.1255484253352324,-0.0867138377297953,1.9073486328125e-06,-1.0,0.8553167305664265,0.9607842828531176,0.8379449286591857,0.954261473426372,1.0,1.0,0.7619047619047619,0.1666666666666666,0.2380952380952382,0.8333333333333333,0.1734199813236773,0.4814754614008291,0.6158795620220713,0.493329931476489,0.5161319316065712,0.0970961961950449,0.8414310569690124,0.2034159730952859,0.0117589372353013,0.0117589372353013,0.1155005214408189,0.7405363868138476,0,20,5.7220458984375e-05
32,0.7,binary_support,0.996848600437652,0.6554021788525579,-0.3414464215850942,-0.423974442061603,-0.2601288659706477,1.9073486328125e-06,-1.0,0.0031513995623478,0.3445978211474421,0.0029781515971773,0.3249008018329943,1.0,1.0,0.7619047619047619,0.1666666666666667,0.2380952380952381,0.8333333333333333,0.1737155760992699,0.48163384864572,0.5950019914000102,0.3153651457379812,0.5401419663446677,0.219191956337655,0.9113837961403854,0.7944021602155854,0.0,0.0,0.3418609887943413,0.6630586735599305,0,20,5.7220458984375e-05
32,0.7,full_support,0.9955282131422376,0.5246319242331048,-0.4708962889091329,-0.5666118862474286,-0.3722334216634012,1.9073486328125e-06,-1.0,0.0044717868577623,0.4753680757668952,0.0040075184721324,0.4540950650706727,1.0,1.0,0.7619047619047619,0.1666666666666667,0.2380952380952381,0.8333333333333333,0.1737155760992699,0.48163384864572,0.5844633868536091,0.3111992585785778,0.5378406014401689,0.1978278833519956,0.9239959514758288,0.801569952507258,0.0,0.0,0.2882510357612166,0.6293881227505125,0,20,5.7220458984375e-05
