dataset,rho,sweep,value,n,mean_final_reputation_gap,bootstrap_95_ci_low,bootstrap_95_ci_high,bootstrap_seed
dog,7/10,lambda_tau,1/20,20,0.14460129359031537,0.14046295283594012,0.14868266394665788,14070715307854564662
dog,7/10,lambda_tau,1/10,20,0.14025741937751537,0.13646608946988528,0.14413323126058608,7370079212148665923
dog,7/10,lambda_tau,2/5,20,0.11853551939518851,0.11536194233180519,0.12177521714972193,11709448493408316979
dog,7/10,lambda_tau,4/5,20,0.09787307822902992,0.093974503459752,0.101667485975292,4703972895866349843
dog,7/10,kappa,1,20,0.15762406911762686,0.15184986232918937,0.16334195626010709,10616281713578101423
dog,7/10,kappa,4,20,0.10904872730077822,0.10414648639807096,0.11363641177507523,12319368326882499876
dog,7/10,calibration_period,10,20,0.1878566063048242,0.1828783774965585,0.19320070025753985,10238675620317198466
dog,7/10,calibration_period,20,20,0.13224769797030683,0.1288952979233137,0.13567328860254463,13722111386516802194
dog,7/10,calibration_period,40,20,0.12182219387807547,0.118264932227646,0.12520463344218125,5969870745263288885
weather,3/10,K,1,20,0.332060315451219,0.3217048329164948,0.342904240508823,5566264620794582045
weather,3/10,K,3,20,0.332060315451219,0.32179173401255323,0.3427813176303437,3543832236741224990
weather,3/10,K,5,20,0.332060315451219,0.32190746396405745,0.3428674263743579,6787493907389488700
weather,3/10,K,20,20,0.332060315451219,0.32181704617933615,0.3428988374146959,6704104770854025193
weather,3/10,K,30,20,0.332060315451219,0.32184920864702,0.34309357857246836,5935172149924913057
weather,3/10,lambda_tau,1/20,20,0.45957013497898375,0.44310218864083784,0.4766525968165177,8626897050403287701
weather,3/10,lambda_tau,1/10,20,0.41100777371824126,0.3977807464886398,0.4246030549515266,15920586580545714076
weather,3/10,lambda_tau,2/5,20,0.23821252870152101,0.23071850207008854,0.24580057656194962,1122968164008886442
weather,3/10,lambda_tau,4/5,20,0.15204394865663987,0.147107613590621,0.15710528527900694,12712108743748863686
weather,3/10,kappa,1,20,0.16809528906369303,0.1572091613542688,0.17909432488867422,8680858058701807770
weather,3/10,kappa,4,20,0.47843195443976233,0.46948344096521205,0.4879629790389688,7245763512229143541
weather,3/10,calibration_period,10,20,0.266655846151892,0.25245089302383455,0.2811689996161086,1367690512616850916
weather,3/10,calibration_period,20,20,0.332060315451219,0.3219229570640634,0.3428089606751055,14415558530205877629
weather,3/10,calibration_period,40,20,0.4063906131457169,0.3993978700443939,0.4137026096807912,17742083903448106513
weather,7/10,K,1,20,0.3448677801319449,0.3349351269428663,0.35436960119818584,15376572046791863505
weather,7/10,K,3,20,0.3448677801319449,0.33480396173715976,0.35450023704091904,18412890334830543816
weather,7/10,K,5,20,0.3448677801319449,0.3352790922523163,0.35433574305006926,4720882028302715488
weather,7/10,K,20,20,0.3448677801319449,0.33483893633150524,0.35427092688518086,9685449195958246279
weather,7/10,K,30,20,0.3448677801319449,0.33480337923792075,0.3543623401343611,14942955098335414059
weather,7/10,lambda_tau,1/20,20,0.4932310716637397,0.46371358805199314,0.5215436674196282,7610629333534705652
weather,7/10,lambda_tau,1/10,20,0.43247722966597024,0.4144088146480291,0.44970203533157954,4831394764000683336
weather,7/10,lambda_tau,2/5,20,0.24554238395775085,0.2402621180216053,0.25051843884191,2318356791658849739
weather,7/10,lambda_tau,4/5,20,0.1561582030607936,0.15323298439384647,0.15875719510809477,4420874498364610271
weather,7/10,kappa,1,20,0.17709299614335328,0.1714655081294513,0.18224834661627448,1768164503139832971
weather,7/10,kappa,4,20,0.49932423494349615,0.4797711215443579,0.5181135992381007,1837873544811018158
weather,7/10,calibration_period,10,20,0.2791869048154182,0.2691767064664767,0.28850715435181307,14275383364039222470
weather,7/10,calibration_period,20,20,0.3448677801319449,0.33535343189644606,0.35432033285779624,2042397007417796798
weather,7/10,calibration_period,40,20,0.4202445226476537,0.407894451979684,0.43224908677032037,15168207561957184773
