hypothesis_id,dataset,rho,order_seed,n,lir_mean_loss,crh_mean_loss,mean_loss_delta_lir_minus_crh,lir_pair_wins,ties,crh_pair_wins,bootstrap_95_ci_low,bootstrap_95_ci_high,bootstrap_seed,exact_two_sided_sign_flip_p,paired_rank_biserial,holm_family,holm_family_size,holm_adjusted_p,direction,holm_direction
dog|7/10|order=7105,dog,7/10,7105,20,0.6718515680017033,0.7883634706828608,-0.11651190268115753,20,0,0,-0.12626767835250152,-0.10657325341559545,6929670411079316090,1.9073486328125e-06,-1.0,task_order|4-datasets|2-rhos|5-orders|40,40,7.62939453125e-05,lir_win,lir_win
weather|3/10|order=7101,weather,3/10,7101,20,0.055262545843524656,0.057824290490497955,-0.0025617446469732986,11,0,9,-0.005741281414054773,0.0004515199634570474,7179859662944817774,0.13138389587402344,-0.2857142857142857,task_order|4-datasets|2-rhos|5-orders|40,40,0.7883033752441406,lir_win,not_significant
weather|3/10|order=7102,weather,3/10,7102,20,0.0569968086605141,0.057824290490497955,-0.0008274818299838605,9,0,11,-0.00391355154245821,0.002044499037085288,15239982201301041406,0.6019306182861328,-0.047619047619047616,task_order|4-datasets|2-rhos|5-orders|40,40,1.0,lir_win,not_significant
weather|3/10|order=7103,weather,3/10,7103,20,0.05729721445066079,0.057824290490497955,-0.0005270760398371633,9,0,11,-0.0035618552280434995,0.002355590154959461,15806963056380223254,0.7420825958251953,-0.02857142857142857,task_order|4-datasets|2-rhos|5-orders|40,40,1.0,lir_win,not_significant
weather|3/10|order=7104,weather,3/10,7104,20,0.05703275436309672,0.057824290490497955,-0.0007915361274012343,9,0,11,-0.0038417372651558548,0.0021176607030548057,18117116867417981699,0.618988037109375,-0.0761904761904762,task_order|4-datasets|2-rhos|5-orders|40,40,1.0,lir_win,not_significant
weather|3/10|order=7105,weather,3/10,7105,20,0.05661105855796371,0.057824290490497955,-0.0012132319325342375,9,0,11,-0.0044488186134080555,0.001813657386859579,12232854250685379152,0.46073150634765625,-0.12380952380952381,task_order|4-datasets|2-rhos|5-orders|40,40,1.0,lir_win,not_significant
weather|7/10|order=7101,weather,7/10,7101,20,0.15527581804400953,0.23791704958024842,-0.08264123153623888,20,0,0,-0.08410623297888624,-0.08111135768306317,11131123123393609349,1.9073486328125e-06,-1.0,task_order|4-datasets|2-rhos|5-orders|40,40,7.62939453125e-05,lir_win,lir_win
weather|7/10|order=7102,weather,7/10,7102,20,0.15895827325003906,0.23791704958024842,-0.07895877633020934,20,0,0,-0.08043037795179893,-0.07742399789301696,7200414652837856593,1.9073486328125e-06,-1.0,task_order|4-datasets|2-rhos|5-orders|40,40,7.62939453125e-05,lir_win,lir_win
weather|7/10|order=7103,weather,7/10,7103,20,0.15900393067704166,0.23791704958024842,-0.07891311890320674,20,0,0,-0.08041032694187308,-0.0774210995179764,725076272541897186,1.9073486328125e-06,-1.0,task_order|4-datasets|2-rhos|5-orders|40,40,7.62939453125e-05,lir_win,lir_win
weather|7/10|order=7104,weather,7/10,7104,20,0.15837558658519374,0.23791704958024842,-0.07954146299505467,20,0,0,-0.08098697926468422,-0.07806313164348866,7224179427661988356,1.9073486328125e-06,-1.0,task_order|4-datasets|2-rhos|5-orders|40,40,7.62939453125e-05,lir_win,lir_win
weather|7/10|order=7105,weather,7/10,7105,20,0.15755742755979804,0.23791704958024842,-0.08035962202045036,20,0,0,-0.08184160521193688,-0.07884316738475641,11139293258067265632,1.9073486328125e-06,-1.0,task_order|4-datasets|2-rhos|5-orders|40,40,7.62939453125e-05,lir_win,lir_win
