hypothesis_id,contrast,first_method,comparator,endpoint,favorable_direction_for_first_method,dataset,scenario,endpoint_status,n,first_method_pair_wins,ties,comparator_pair_wins,mean_delta_first_minus_comparator,bootstrap_95_ci_low,bootstrap_95_ci_high,bootstrap_seed,exact_two_sided_sign_flip_p,paired_rank_biserial_first_minus_comparator,mean_direction,holm_adjusted_p,holm_family_size,holm_direction
no_cw_vs_cowa|post_switch_primary_loss|dog|benign_to_malicious,no_cw_vs_cowa,no_cw,cowa,post_switch_primary_loss,lower,dog,benign_to_malicious,available,15,15,0,0,-0.021342930299257688,-0.028817146619811124,-0.01488778511898163,16627254027187902532,6.103515625e-05,-1.0,first_win,0.00048828125,8,first_win
no_cw_vs_cowa|post_switch_primary_loss|dog|malicious_to_benign,no_cw_vs_cowa,no_cw,cowa,post_switch_primary_loss,lower,dog,malicious_to_benign,available,15,15,0,0,-0.014217077169041146,-0.017290097292702884,-0.01111428296363759,2520819649050241368,6.103515625e-05,-1.0,first_win,0.00048828125,8,first_win
no_cw_vs_cowa|post_switch_primary_loss|weather|benign_to_malicious,no_cw_vs_cowa,no_cw,cowa,post_switch_primary_loss,lower,weather,benign_to_malicious,available,15,15,0,0,-0.031864493762704095,-0.03300704466244049,-0.030613742269002417,3496953569777491754,6.103515625e-05,-1.0,first_win,0.00048828125,8,first_win
no_cw_vs_cowa|post_switch_primary_loss|weather|malicious_to_benign,no_cw_vs_cowa,no_cw,cowa,post_switch_primary_loss,lower,weather,malicious_to_benign,available,15,6,0,9,0.0006554822728637777,-0.00015744643450036393,0.0013808245207716184,14479092772562673529,0.131103515625,0.43333333333333335,comparator_win,0.3017578125,8,nonsignificant
no_cw_vs_cowa|early_post_point_loss|product|benign_to_malicious,no_cw_vs_cowa,no_cw,cowa,early_post_point_loss,lower,product,benign_to_malicious,available,15,15,0,0,-0.05674481821270814,-0.06435609921848459,-0.049541284403669714,13440324431833231635,6.103515625e-05,-1.0,first_win,0.00048828125,8,first_win
no_cw_vs_cowa|early_post_point_loss|product|malicious_to_benign,no_cw_vs_cowa,no_cw,cowa,early_post_point_loss,lower,product,malicious_to_benign,available,15,15,0,0,-0.032279986408426775,-0.03724091063540604,-0.02684335711858648,9691291994560400535,6.103515625e-05,-1.0,first_win,0.00048828125,8,first_win
no_cw_vs_cowa|early_post_point_loss|duck|benign_to_malicious,no_cw_vs_cowa,no_cw,cowa,early_post_point_loss,lower,duck,benign_to_malicious,available,15,0,12,3,0.019047619047619053,0.0,0.042857142857142864,8511310072236694375,0.25,1.0,comparator_win,0.75,8,nonsignificant
no_cw_vs_cowa|early_post_point_loss|duck|malicious_to_benign,no_cw_vs_cowa,no_cw,cowa,early_post_point_loss,lower,duck,malicious_to_benign,available,15,0,13,2,0.009523809523809525,0.0,0.023809523809523815,15173379989932518996,0.5,1.0,comparator_win,1.0,8,nonsignificant
no_cw_vs_cowa|early_post_point_loss|dog|benign_to_malicious,no_cw_vs_cowa,no_cw,cowa,early_post_point_loss,lower,dog,benign_to_malicious,available,15,9,1,5,-0.00350877192982456,-0.012631578947368433,0.006315789473684241,7379401886767023488,0.54638671875,-0.1523809523809524,first_win,1.0,8,nonsignificant
no_cw_vs_cowa|early_post_point_loss|dog|malicious_to_benign,no_cw_vs_cowa,no_cw,cowa,early_post_point_loss,lower,dog,malicious_to_benign,available,15,11,1,3,-0.017543859649122803,-0.027368421052631566,-0.007719298245614031,2183011170367995777,0.0059814453125,-0.8380952380952381,first_win,0.02392578125,8,first_win
no_cw_vs_cowa|early_post_point_loss|weather|benign_to_malicious,no_cw_vs_cowa,no_cw,cowa,early_post_point_loss,lower,weather,benign_to_malicious,available,15,15,0,0,-0.02403579101583026,-0.025406973987583712,-0.022437508436095866,8476548414992860426,6.103515625e-05,-1.0,first_win,0.00048828125,8,first_win
no_cw_vs_cowa|early_post_point_loss|weather|malicious_to_benign,no_cw_vs_cowa,no_cw,cowa,early_post_point_loss,lower,weather,malicious_to_benign,available,15,0,0,15,0.0022299587647781915,0.001726078462401162,0.002739793979565381,13563198100878549561,6.103515625e-05,1.0,comparator_win,0.00048828125,8,comparator_win
no_cw_vs_cowa|post_calibration_alignment|product|benign_to_malicious,no_cw_vs_cowa,no_cw,cowa,post_calibration_alignment,higher,product,benign_to_malicious,available,15,0,0,15,-0.05857350135433021,-0.07340551227233838,-0.044774564494433955,3316238739935431654,6.103515625e-05,-1.0,comparator_win,0.0003662109375,6,comparator_win
no_cw_vs_cowa|post_calibration_alignment|product|malicious_to_benign,no_cw_vs_cowa,no_cw,cowa,post_calibration_alignment,higher,product,malicious_to_benign,available,15,15,0,0,0.10634547792580382,0.09553525238162308,0.11730893203647502,4629111375611799539,6.103515625e-05,1.0,first_win,0.0003662109375,6,first_win
no_cw_vs_cowa|post_calibration_alignment|duck|benign_to_malicious,no_cw_vs_cowa,no_cw,cowa,post_calibration_alignment,higher,duck,benign_to_malicious,unavailable_no_post_switch_calibration,0,0,0,0,,,,,,,not_tested,,6,not_tested
no_cw_vs_cowa|post_calibration_alignment|duck|malicious_to_benign,no_cw_vs_cowa,no_cw,cowa,post_calibration_alignment,higher,duck,malicious_to_benign,unavailable_no_post_switch_calibration,0,0,0,0,,,,,,,not_tested,,6,not_tested
no_cw_vs_cowa|post_calibration_alignment|dog|benign_to_malicious,no_cw_vs_cowa,no_cw,cowa,post_calibration_alignment,higher,dog,benign_to_malicious,available,15,1,0,14,-0.04114050568462274,-0.05516482352756271,-0.02705766579284797,14603051600734481425,0.00030517578125,-0.95,comparator_win,0.0003662109375,6,comparator_win
no_cw_vs_cowa|post_calibration_alignment|dog|malicious_to_benign,no_cw_vs_cowa,no_cw,cowa,post_calibration_alignment,higher,dog,malicious_to_benign,available,15,14,0,1,0.05375365238510817,0.038493967852354365,0.06886320054612928,3960419330053046602,0.0001220703125,0.9833333333333333,first_win,0.0003662109375,6,first_win
no_cw_vs_cowa|post_calibration_alignment|weather|benign_to_malicious,no_cw_vs_cowa,no_cw,cowa,post_calibration_alignment,higher,weather,benign_to_malicious,available,15,15,0,0,0.24667961996224658,0.23987037802626543,0.25316274123218935,5215491351942523199,6.103515625e-05,1.0,first_win,0.0003662109375,6,first_win
no_cw_vs_cowa|post_calibration_alignment|weather|malicious_to_benign,no_cw_vs_cowa,no_cw,cowa,post_calibration_alignment,higher,weather,malicious_to_benign,available,15,15,0,0,0.08865216221277604,0.08163543469136184,0.09589474678051135,17093416489413395470,6.103515625e-05,1.0,first_win,0.0003662109375,6,first_win
full_vs_no_cw|post_switch_primary_loss|product|benign_to_malicious,full_vs_no_cw,lir_pptd,no_cw,post_switch_primary_loss,lower,product,benign_to_malicious,available,15,0,15,0,0.0,0.0,0.0,5343448375204420903,1.0,0.0,tie,1.0,8,nonsignificant
full_vs_no_cw|post_switch_primary_loss|product|malicious_to_benign,full_vs_no_cw,lir_pptd,no_cw,post_switch_primary_loss,lower,product,malicious_to_benign,available,15,0,15,0,0.0,0.0,0.0,2814290110441264925,1.0,0.0,tie,1.0,8,nonsignificant
full_vs_no_cw|post_switch_primary_loss|duck|benign_to_malicious,full_vs_no_cw,lir_pptd,no_cw,post_switch_primary_loss,lower,duck,benign_to_malicious,available,15,0,15,0,0.0,0.0,0.0,965843911606338887,1.0,0.0,tie,1.0,8,nonsignificant
full_vs_no_cw|post_switch_primary_loss|duck|malicious_to_benign,full_vs_no_cw,lir_pptd,no_cw,post_switch_primary_loss,lower,duck,malicious_to_benign,available,15,0,15,0,0.0,0.0,0.0,4895351384060394177,1.0,0.0,tie,1.0,8,nonsignificant
full_vs_no_cw|post_switch_primary_loss|dog|benign_to_malicious,full_vs_no_cw,lir_pptd,no_cw,post_switch_primary_loss,lower,dog,benign_to_malicious,available,15,0,15,0,0.0,0.0,0.0,4546211347495406506,1.0,0.0,tie,1.0,8,nonsignificant
full_vs_no_cw|post_switch_primary_loss|dog|malicious_to_benign,full_vs_no_cw,lir_pptd,no_cw,post_switch_primary_loss,lower,dog,malicious_to_benign,available,15,0,15,0,0.0,0.0,0.0,11257605554151937488,1.0,0.0,tie,1.0,8,nonsignificant
full_vs_no_cw|post_switch_primary_loss|weather|benign_to_malicious,full_vs_no_cw,lir_pptd,no_cw,post_switch_primary_loss,lower,weather,benign_to_malicious,available,15,6,0,9,0.0015014730472048573,-0.0008306787231116777,0.0038383297942457695,9929479502672059796,0.242919921875,0.31666666666666665,comparator_win,1.0,8,nonsignificant
full_vs_no_cw|post_switch_primary_loss|weather|malicious_to_benign,full_vs_no_cw,lir_pptd,no_cw,post_switch_primary_loss,lower,weather,malicious_to_benign,available,15,15,0,0,-0.0003994405392129661,-0.00041444351203963684,-0.0003846563987020161,128655507757604158,6.103515625e-05,-1.0,first_win,0.00048828125,8,first_win
full_vs_no_cw|early_post_point_loss|product|benign_to_malicious,full_vs_no_cw,lir_pptd,no_cw,early_post_point_loss,lower,product,benign_to_malicious,available,15,0,15,0,0.0,0.0,0.0,5337478361058882174,1.0,0.0,tie,1.0,8,nonsignificant
full_vs_no_cw|early_post_point_loss|product|malicious_to_benign,full_vs_no_cw,lir_pptd,no_cw,early_post_point_loss,lower,product,malicious_to_benign,available,15,0,15,0,0.0,0.0,0.0,2537066916944000039,1.0,0.0,tie,1.0,8,nonsignificant
full_vs_no_cw|early_post_point_loss|duck|benign_to_malicious,full_vs_no_cw,lir_pptd,no_cw,early_post_point_loss,lower,duck,benign_to_malicious,available,15,0,15,0,0.0,0.0,0.0,16166954665858305532,1.0,0.0,tie,1.0,8,nonsignificant
full_vs_no_cw|early_post_point_loss|duck|malicious_to_benign,full_vs_no_cw,lir_pptd,no_cw,early_post_point_loss,lower,duck,malicious_to_benign,available,15,0,15,0,0.0,0.0,0.0,1494186630498724963,1.0,0.0,tie,1.0,8,nonsignificant
full_vs_no_cw|early_post_point_loss|dog|benign_to_malicious,full_vs_no_cw,lir_pptd,no_cw,early_post_point_loss,lower,dog,benign_to_malicious,available,15,0,15,0,0.0,0.0,0.0,16782546725294129966,1.0,0.0,tie,1.0,8,nonsignificant
full_vs_no_cw|early_post_point_loss|dog|malicious_to_benign,full_vs_no_cw,lir_pptd,no_cw,early_post_point_loss,lower,dog,malicious_to_benign,available,15,0,15,0,0.0,0.0,0.0,7955724301640355359,1.0,0.0,tie,1.0,8,nonsignificant
full_vs_no_cw|early_post_point_loss|weather|benign_to_malicious,full_vs_no_cw,lir_pptd,no_cw,early_post_point_loss,lower,weather,benign_to_malicious,available,15,1,0,14,0.007980786561594984,0.005144463580186247,0.010874302964760881,17385483841534000555,0.00018310546875,0.9666666666666667,comparator_win,0.00128173828125,8,comparator_win
full_vs_no_cw|early_post_point_loss|weather|malicious_to_benign,full_vs_no_cw,lir_pptd,no_cw,early_post_point_loss,lower,weather,malicious_to_benign,available,15,15,0,0,-0.0004005730082754917,-0.0004342062705993898,-0.0003689797361713449,14592750206281738545,6.103515625e-05,-1.0,first_win,0.00048828125,8,first_win
full_vs_no_cw|post_calibration_alignment|product|benign_to_malicious,full_vs_no_cw,lir_pptd,no_cw,post_calibration_alignment,higher,product,benign_to_malicious,available,15,0,15,0,0.0,0.0,0.0,6169569533971554750,1.0,0.0,tie,1.0,6,nonsignificant
full_vs_no_cw|post_calibration_alignment|product|malicious_to_benign,full_vs_no_cw,lir_pptd,no_cw,post_calibration_alignment,higher,product,malicious_to_benign,available,15,0,15,0,0.0,0.0,0.0,8864755497439230507,1.0,0.0,tie,1.0,6,nonsignificant
full_vs_no_cw|post_calibration_alignment|duck|benign_to_malicious,full_vs_no_cw,lir_pptd,no_cw,post_calibration_alignment,higher,duck,benign_to_malicious,unavailable_no_post_switch_calibration,0,0,0,0,,,,,,,not_tested,,6,not_tested
full_vs_no_cw|post_calibration_alignment|duck|malicious_to_benign,full_vs_no_cw,lir_pptd,no_cw,post_calibration_alignment,higher,duck,malicious_to_benign,unavailable_no_post_switch_calibration,0,0,0,0,,,,,,,not_tested,,6,not_tested
full_vs_no_cw|post_calibration_alignment|dog|benign_to_malicious,full_vs_no_cw,lir_pptd,no_cw,post_calibration_alignment,higher,dog,benign_to_malicious,available,15,0,15,0,0.0,0.0,0.0,16538003568240360141,1.0,0.0,tie,1.0,6,nonsignificant
full_vs_no_cw|post_calibration_alignment|dog|malicious_to_benign,full_vs_no_cw,lir_pptd,no_cw,post_calibration_alignment,higher,dog,malicious_to_benign,available,15,0,15,0,0.0,0.0,0.0,9035321198602211632,1.0,0.0,tie,1.0,6,nonsignificant
full_vs_no_cw|post_calibration_alignment|weather|benign_to_malicious,full_vs_no_cw,lir_pptd,no_cw,post_calibration_alignment,higher,weather,benign_to_malicious,available,15,0,15,0,0.0,0.0,0.0,12241181761111336783,1.0,0.0,tie,1.0,6,nonsignificant
full_vs_no_cw|post_calibration_alignment|weather|malicious_to_benign,full_vs_no_cw,lir_pptd,no_cw,post_calibration_alignment,higher,weather,malicious_to_benign,available,15,0,15,0,0.0,0.0,0.0,720274173235255131,1.0,0.0,tie,1.0,6,nonsignificant
full_vs_no_hr|post_switch_primary_loss|product|benign_to_malicious,full_vs_no_hr,lir_pptd,no_hr,post_switch_primary_loss,lower,product,benign_to_malicious,available,15,15,0,0,-0.1301874760631008,-0.13960340818891265,-0.12098766307765656,1093156379683854125,6.103515625e-05,-1.0,first_win,0.00048828125,8,first_win
full_vs_no_hr|post_switch_primary_loss|product|malicious_to_benign,full_vs_no_hr,lir_pptd,no_hr,post_switch_primary_loss,lower,product,malicious_to_benign,available,15,15,0,0,-0.01674200610674593,-0.01959093997048615,-0.013714571930146198,317371277784390975,6.103515625e-05,-1.0,first_win,0.00048828125,8,first_win
full_vs_no_hr|post_switch_primary_loss|duck|benign_to_malicious,full_vs_no_hr,lir_pptd,no_hr,post_switch_primary_loss,lower,duck,benign_to_malicious,available,15,5,4,6,-0.0037037037037037225,-0.0197530864197531,0.011111111111111098,9794191087864944749,0.5859375,-0.16666666666666666,first_win,0.5859375,8,nonsignificant
full_vs_no_hr|post_switch_primary_loss|duck|malicious_to_benign,full_vs_no_hr,lir_pptd,no_hr,post_switch_primary_loss,lower,duck,malicious_to_benign,available,15,5,6,4,-0.007407407407407425,-0.02222222222222223,0.006172839506172815,13968109241635865842,0.27734375,-0.4444444444444444,first_win,0.5546875,8,nonsignificant
full_vs_no_hr|post_switch_primary_loss|dog|benign_to_malicious,full_vs_no_hr,lir_pptd,no_hr,post_switch_primary_loss,lower,dog,benign_to_malicious,available,15,15,0,0,-0.09036495547774451,-0.1045897890440156,-0.07665860234801072,12555473832506349857,6.103515625e-05,-1.0,first_win,0.00048828125,8,first_win
full_vs_no_hr|post_switch_primary_loss|dog|malicious_to_benign,full_vs_no_hr,lir_pptd,no_hr,post_switch_primary_loss,lower,dog,malicious_to_benign,available,15,15,0,0,-0.009848207933139357,-0.012464637253606418,-0.0071664005985891815,12545274585433772452,6.103515625e-05,-1.0,first_win,0.00048828125,8,first_win
full_vs_no_hr|post_switch_primary_loss|weather|benign_to_malicious,full_vs_no_hr,lir_pptd,no_hr,post_switch_primary_loss,lower,weather,benign_to_malicious,available,15,15,0,0,-0.04784546209013878,-0.05062478147279822,-0.044921028705624075,6367538509778266700,6.103515625e-05,-1.0,first_win,0.00048828125,8,first_win
full_vs_no_hr|post_switch_primary_loss|weather|malicious_to_benign,full_vs_no_hr,lir_pptd,no_hr,post_switch_primary_loss,lower,weather,malicious_to_benign,available,15,12,0,3,-0.000778603000141857,-0.001273250760180415,-0.0002838641829129216,15998251456130739697,0.01025390625,-0.7333333333333333,first_win,0.03076171875,8,first_win
full_vs_no_hr|early_post_point_loss|product|benign_to_malicious,full_vs_no_hr,lir_pptd,no_hr,early_post_point_loss,lower,product,benign_to_malicious,available,15,15,0,0,-0.05939517499150527,-0.06816173972137277,-0.051376146788990835,15758119792530776930,6.103515625e-05,-1.0,first_win,0.00048828125,8,first_win
full_vs_no_hr|early_post_point_loss|product|malicious_to_benign,full_vs_no_hr,lir_pptd,no_hr,early_post_point_loss,lower,product,malicious_to_benign,available,15,7,0,8,0.0038056405028882015,0.00013591573224600096,0.007611281005776408,11820461773763722535,0.08160400390625,0.45,comparator_win,0.326416015625,8,nonsignificant
full_vs_no_hr|early_post_point_loss|duck|benign_to_malicious,full_vs_no_hr,lir_pptd,no_hr,early_post_point_loss,lower,duck,benign_to_malicious,available,15,1,11,3,0.014285714285714287,-0.009523809523809513,0.0380952380952381,1941124997133654227,0.375,0.7,comparator_win,0.8551025390625,8,nonsignificant
full_vs_no_hr|early_post_point_loss|duck|malicious_to_benign,full_vs_no_hr,lir_pptd,no_hr,early_post_point_loss,lower,duck,malicious_to_benign,available,15,1,14,0,-0.004761904761904763,-0.01428571428571429,0.0,16139073387686651852,1.0,-1.0,first_win,1.0,8,nonsignificant
full_vs_no_hr|early_post_point_loss|dog|benign_to_malicious,full_vs_no_hr,lir_pptd,no_hr,early_post_point_loss,lower,dog,benign_to_malicious,available,15,15,0,0,-0.05052631578947369,-0.06596491228070175,-0.036491228070175456,14310057171208386817,6.103515625e-05,-1.0,first_win,0.00048828125,8,first_win
full_vs_no_hr|early_post_point_loss|dog|malicious_to_benign,full_vs_no_hr,lir_pptd,no_hr,early_post_point_loss,lower,dog,malicious_to_benign,available,15,12,3,0,-0.016842105263157884,-0.02245614035087718,-0.011228070175438589,3208623395902202576,0.00048828125,-1.0,first_win,0.00244140625,8,first_win
full_vs_no_hr|early_post_point_loss|weather|benign_to_malicious,full_vs_no_hr,lir_pptd,no_hr,early_post_point_loss,lower,weather,benign_to_malicious,available,15,15,0,0,-0.03779936059018015,-0.041256759294101275,-0.03418921577283094,15635714203891826820,6.103515625e-05,-1.0,first_win,0.00048828125,8,first_win
full_vs_no_hr|early_post_point_loss|weather|malicious_to_benign,full_vs_no_hr,lir_pptd,no_hr,early_post_point_loss,lower,weather,malicious_to_benign,available,15,6,0,9,0.0007214828409280244,-0.0005067147841125808,0.001928810371490301,4035949987010905225,0.2850341796875,0.3,comparator_win,0.8551025390625,8,nonsignificant
full_vs_no_hr|post_calibration_alignment|product|benign_to_malicious,full_vs_no_hr,lir_pptd,no_hr,post_calibration_alignment,higher,product,benign_to_malicious,available,15,15,0,0,0.10530332488738767,0.09781771779392676,0.11364466622413566,11897124414740840760,6.103515625e-05,1.0,first_win,0.0003662109375,6,first_win
