dataset,rho,calibration_epoch,task_index,task_id,method,display_name,quantity,n,mean,bootstrap_95_ci_low,bootstrap_95_ci_high
dog,7/10,12,216,dog:493,lir_pptd,LIR-PPTD,mean_reputation_honest,20,0.5043755525021044,0.4995419818170771,0.509064030372843
dog,7/10,12,216,dog:493,lir_pptd,LIR-PPTD,mean_reputation_malicious,20,0.46006559253385926,0.4582232658442518,0.46188706968113064
dog,7/10,12,216,dog:493,lir_pptd,LIR-PPTD,reputation_gap_honest_minus_malicious,20,0.04430995996824515,0.04062155606757844,0.04806298366300191
dog,7/10,12,216,dog:493,no_eg,No-EG,mean_reputation_honest,20,0.3001016445903184,0.2922954125624458,0.3076173321352478
dog,7/10,12,216,dog:493,no_eg,No-EG,mean_reputation_malicious,20,0.575858924355797,0.5713844958915383,0.5798782083072865
dog,7/10,12,216,dog:493,no_eg,No-EG,reputation_gap_honest_minus_malicious,20,-0.2757572797654786,-0.28536304186733435,-0.2658688207881127
dog,7/10,13,235,dog:629,lir_pptd,LIR-PPTD,mean_reputation_honest,20,0.505467081398569,0.5001954251839962,0.510879801401473
dog,7/10,13,235,dog:629,lir_pptd,LIR-PPTD,mean_reputation_malicious,20,0.45503382088265454,0.45304608854680867,0.45698233332128674
dog,7/10,13,235,dog:629,lir_pptd,LIR-PPTD,reputation_gap_honest_minus_malicious,20,0.05043326051591448,0.04607307233470085,0.05468096886096897
dog,7/10,13,235,dog:629,no_eg,No-EG,mean_reputation_honest,20,0.28957422931023047,0.28175645298865143,0.2972594088490227
dog,7/10,13,235,dog:629,no_eg,No-EG,mean_reputation_malicious,20,0.5782498310556642,0.5736570348204323,0.5826961397768349
dog,7/10,13,235,dog:629,no_eg,No-EG,reputation_gap_honest_minus_malicious,20,-0.2886756017454337,-0.2987666201164507,-0.27775992083305145
dog,7/10,14,240,dog:379,lir_pptd,LIR-PPTD,mean_reputation_honest,20,0.5006690563670033,0.4948728345527217,0.5065353008536371
dog,7/10,14,240,dog:379,lir_pptd,LIR-PPTD,mean_reputation_malicious,20,0.44902115307146173,0.44719802476508014,0.45083553476677407
dog,7/10,14,240,dog:379,lir_pptd,LIR-PPTD,reputation_gap_honest_minus_malicious,20,0.05164790329554164,0.04654688850131258,0.056530295387304925
dog,7/10,14,240,dog:379,no_eg,No-EG,mean_reputation_honest,20,0.28712808720689453,0.27916458805356215,0.2951014929464204
dog,7/10,14,240,dog:379,no_eg,No-EG,mean_reputation_malicious,20,0.5718924644732882,0.5676649573748025,0.5760257324624981
dog,7/10,14,240,dog:379,no_eg,No-EG,reputation_gap_honest_minus_malicious,20,-0.2847643772663937,-0.2944355515998601,-0.2748748768640604
dog,7/10,15,246,dog:375,lir_pptd,LIR-PPTD,mean_reputation_honest,20,0.49858461743602694,0.49323969859202965,0.5039898290766782
dog,7/10,15,246,dog:375,lir_pptd,LIR-PPTD,mean_reputation_malicious,20,0.44354851933646233,0.44178151321502007,0.4452853273338363
