seed,family,attack,rho,endpoint,lir_pptd_primary_loss,mean_vote_primary_loss,delta_lir_minus_mean,final_reputation_gap,effective_attacked_report_fraction,calibration_attacked_count,on_off_starting_phase
4013,synthetic_num_longitudinal,persistent,7/10,MAE,0.25319918187338789,0.24841739368046329,0.0047817881929246034,0.27521352072349975,0.7,5,not_applicable
4014,synthetic_num_longitudinal,persistent,7/10,MAE,0.25518597911453753,0.24982231847599610,0.0053636606385414304,0.2365092401821577,0.7,5,not_applicable
4015,synthetic_num_longitudinal,persistent,7/10,MAE,0.25122489882320201,0.24170009296832213,0.0095248058548798749,0.2716556189250045,0.7,5,not_applicable
4016,synthetic_num_longitudinal,persistent,7/10,MAE,0.27297627992074823,0.26243020439889921,0.010546075521849020,0.27770627646894874,0.7,5,not_applicable
4017,synthetic_num_longitudinal,persistent,7/10,MAE,0.26093019156069552,0.24944834777587692,0.011481843784818603,0.24355975746856579,0.7,5,not_applicable
4018,synthetic_num_longitudinal,persistent,7/10,MAE,0.24454908315647397,0.24256826397845235,0.0019808191780216241,0.2813658612620903,0.7,5,not_applicable
4019,synthetic_num_longitudinal,persistent,7/10,MAE,0.25182154870498925,0.25067278928347298,0.0011487594215162729,0.29913428987138496,0.7,5,not_applicable
4020,synthetic_num_longitudinal,persistent,7/10,MAE,0.25350777199934947,0.24655750177104239,0.0069502702283070754,0.24414268689809787,0.7,5,not_applicable
4001,synthetic_num_longitudinal,persistent,9/10,MAE,0.33930900167722469,0.33058933110376571,0.0087196705734589797,0.30208289142874833,0.9,5,not_applicable
4002,synthetic_num_longitudinal,persistent,9/10,MAE,0.32846646933509125,0.31911723513051518,0.0093492342045760665,0.2659304292567438,0.9,5,not_applicable
4003,synthetic_num_longitudinal,persistent,9/10,MAE,0.32441270232325018,0.31335812095489121,0.011054581368358974,0.2543265729647066,0.9,5,not_applicable
4004,synthetic_num_longitudinal,persistent,9/10,MAE,0.33591947198885219,0.32721863286546203,0.0087008391233901656,0.3056829966645452,0.9,5,not_applicable
4005,synthetic_num_longitudinal,persistent,9/10,MAE,0.32259539828176367,0.31459886943538383,0.0079965288463798410,0.32190199453219137,0.9,5,not_applicable
4006,synthetic_num_longitudinal,persistent,9/10,MAE,0.31774478374257956,0.31053502858139174,0.0072097551611878207,0.30083286219594907,0.9,5,not_applicable
4007,synthetic_num_longitudinal,persistent,9/10,MAE,0.31611916721547863,0.30922419107059407,0.0068949761448845646,0.32260486930088006,0.9,5,not_applicable
4008,synthetic_num_longitudinal,persistent,9/10,MAE,0.31519198171188461,0.30729587619994792,0.0078961055119366937,0.3154673583203808,0.9,5,not_applicable
4009,synthetic_num_longitudinal,persistent,9/10,MAE,0.33474180363699086,0.32508026476010068,0.0096615388768901845,0.2912347047302848,0.9,5,not_applicable
4010,synthetic_num_longitudinal,persistent,9/10,MAE,0.32199233097355761,0.31155246048784265,0.010439870485714956,0.252034628316359,0.9,5,not_applicable
4011,synthetic_num_longitudinal,persistent,9/10,MAE,0.34479839076375105,0.33410470857291973,0.010693682190831322,0.302913055469062,0.9,5,not_applicable
4012,synthetic_num_longitudinal,persistent,9/10,MAE,0.32600305639928078,0.31928590341515252,0.0067171529841282652,0.3282449526452129,0.9,5,not_applicable
4013,synthetic_num_longitudinal,persistent,9/10,MAE,0.32869327533474580,0.31938306779942333,0.0093102075353224700,0.27590232166964623,0.9,5,not_applicable
4014,synthetic_num_longitudinal,persistent,9/10,MAE,0.33094672065070308,0.32174196265463347,0.0092047579960696039,0.23629451999097312,0.9,5,not_applicable
4015,synthetic_num_longitudinal,persistent,9/10,MAE,0.32071654369721314,0.31094754030241664,0.0097690033947965005,0.27212656228488896,0.9,5,not_applicable
4016,synthetic_num_longitudinal,persistent,9/10,MAE,0.34971108943025857,0.33836149784688326,0.011349591583375309,0.27858093309860243,0.9,5,not_applicable
