family,attack,rho,endpoint,n,lir_pptd_mean_loss,mean_vote_mean_loss,mean_delta_lir_minus_mean,mean_final_reputation_gap,mean_effective_attacked_report_fraction
synthetic_num_longitudinal,on_off,9/10,MAE,20,0.16971347829551964,0.1637092800070823,0.006004198288437345,0.14686708932501777,0.45
synthetic_cat_binary,persistent,0,1-Accuracy,20,0.0,0.0,0.0,,0.0
synthetic_cat_binary,persistent,1/10,1-Accuracy,20,0.0,0.0,0.0,0.4181069058641976,0.1
synthetic_cat_binary,persistent,3/10,1-Accuracy,20,0.0005263157894736858,0.0021052631578947377,-0.001578947368421052,0.4196049274094283,0.3
synthetic_cat_binary,persistent,1/2,1-Accuracy,20,0.13421052631578947,0.5078947368421053,-0.3736842105263158,0.4190567376060957,0.5
synthetic_cat_binary,persistent,7/10,1-Accuracy,20,0.8794736842105263,0.9989473684210526,-0.11947368421052632,0.4173907772197421,0.7
synthetic_cat_binary,persistent,9/10,1-Accuracy,20,1.0,1.0,0.0,0.4034904183009688,0.9
synthetic_cat_binary,random,0,1-Accuracy,20,0.0,0.0,0.0,,0.0
synthetic_cat_binary,random,1/10,1-Accuracy,20,0.0,0.0,0.0,0.21696860773533952,0.1
synthetic_cat_binary,random,3/10,1-Accuracy,20,0.0,0.0,0.0,0.22756019899829147,0.3
synthetic_cat_binary,random,1/2,1-Accuracy,20,0.0005263157894736858,0.005263157894736847,-0.004736842105263162,0.23340584992283953,0.5
synthetic_cat_binary,random,7/10,1-Accuracy,20,0.05,0.07736842105263157,-0.02736842105263157,0.23645795359347443,0.7
synthetic_cat_binary,random,9/10,1-Accuracy,20,0.29526315789473684,0.3315789473684211,-0.036315789473684225,0.2207854398683985,0.9
synthetic_cat_binary,on_off,0,1-Accuracy,20,0.0,0.0,0.0,,0.0
synthetic_cat_binary,on_off,1/10,1-Accuracy,20,0.0,0.0,0.0,0.2036211805555556,0.05
synthetic_cat_binary,on_off,3/10,1-Accuracy,20,0.0,0.0010526315789473716,-0.0010526315789473716,0.20938969520456718,0.15
synthetic_cat_binary,on_off,1/2,1-Accuracy,20,0.1705263157894737,0.25473684210526315,-0.08421052631578947,0.21259980324074076,0.25
synthetic_cat_binary,on_off,7/10,1-Accuracy,20,0.46842105263157896,0.4989473684210527,-0.030526315789473697,0.2097154483575838,0.35
synthetic_cat_binary,on_off,9/10,1-Accuracy,20,0.5,0.5,0.0,0.19244333944187245,0.45
synthetic_cat_tie,persistent,0,1-MacroF1,20,0.5108406035370374,0.6551724137931034,-0.14433181025606603,,0.0
synthetic_cat_tie,persistent,1/10,1-MacroF1,20,0.5179706997811269,0.5405510958610009,-0.022580396079874023,0.020446455573774006,0.1
synthetic_cat_tie,persistent,3/10,1-MacroF1,20,0.5161248599684816,0.5175383248621697,-0.001413464893688156,0.003645907784024102,0.3
synthetic_cat_tie,persistent,1/2,1-MacroF1,20,0.5205083908125683,0.5271879774976794,-0.0066795866851111505,-0.00011339144483024644,0.5
synthetic_cat_tie,persistent,7/10,1-MacroF1,20,0.5079743709507634,0.5258190400742053,-0.017844669123442024,-0.0006334018936471286,0.7
synthetic_cat_tie,persistent,9/10,1-MacroF1,20,0.4936368086725714,0.5406951133699782,-0.04705830469740679,0.009192647113983201,0.9
synthetic_cat_tie,random,0,1-MacroF1,20,0.5108406035370374,0.6551724137931034,-0.14433181025606603,,0.0
synthetic_cat_tie,random,1/10,1-MacroF1,20,0.4984293120299061,0.5113316077331642,-0.012902295703258149,0.0016393973176011517,0.1
synthetic_cat_tie,random,3/10,1-MacroF1,20,0.5161142581937749,0.5093106287622319,0.006803629431542924,0.0018911682810662882,0.3
synthetic_cat_tie,random,1/2,1-MacroF1,20,0.5142630708973921,0.504269860170926,0.009993210726466117,0.009496977285879634,0.5
synthetic_cat_tie,random,7/10,1-MacroF1,20,0.5094221608491276,0.5145643620686812,-0.005142201219553539,0.010156962551899618,0.7
synthetic_cat_tie,random,9/10,1-MacroF1,20,0.5091963608407738,0.5100675452694018,-0.0008711844286279075,0.01913059804741084,0.9
synthetic_cat_tie,on_off,0,1-MacroF1,20,0.5108406035370374,0.6551724137931034,-0.14433181025606603,,0.0
synthetic_cat_tie,on_off,1/10,1-MacroF1,20,0.5124535754822611,0.5887127446777067,-0.07625916919544565,0.0015917109267832602,0.05
synthetic_cat_tie,on_off,3/10,1-MacroF1,20,0.5061752406176899,0.557106879311441,-0.050931638693751044,-0.0015058910199882397,0.15
synthetic_cat_tie,on_off,1/2,1-MacroF1,20,0.5206477371987763,0.5637018667390695,-0.043054129540293196,0.00283259355709877,0.25
synthetic_cat_tie,on_off,7/10,1-MacroF1,20,0.5162118349985462,0.5645720415335824,-0.04836020653503635,-0.0022513086052322216,0.35
synthetic_cat_tie,on_off,9/10,1-MacroF1,20,0.5216075654664355,0.5769009094143015,-0.055293343947865996,0.010215383176869,0.45
