family,attack,rho,n,mean_final_honest_minus_malicious_gap,min_gap,max_gap,positive_gap_seeds,zero_gap_seeds,negative_gap_seeds
synthetic_num_longitudinal,random,1/2,20,0.22308596340682207,0.20154812770767433,0.2541234089470392,20,0,0
synthetic_num_longitudinal,random,7/10,20,0.22381431535914267,0.19491298281938263,0.25603802583206137,20,0,0
synthetic_num_longitudinal,random,9/10,20,0.22359319233883054,0.1991199506297957,0.2559474578676719,20,0,0
synthetic_num_longitudinal,on_off,1/10,20,0.14676570669786596,-0.0028886828024998756,0.3251568412314724,13,0,7
synthetic_num_longitudinal,on_off,3/10,20,0.14681163909965214,-0.0014491823234186185,0.32526298497474887,15,0,5
synthetic_num_longitudinal,on_off,1/2,20,0.14658846742736406,-0.0017626342610379542,0.32478543391119,15,0,5
synthetic_num_longitudinal,on_off,7/10,20,0.146535395406478,-0.0036353066859373673,0.3253872415052403,14,0,6
synthetic_num_longitudinal,on_off,9/10,20,0.14686708932501777,-0.002443574263450765,0.32260486930088006,18,0,2
synthetic_cat_binary,persistent,1/10,20,0.4181069058641976,0.3362067467206791,0.4524414641203704,20,0,0
synthetic_cat_binary,persistent,3/10,20,0.4196049274094283,0.37275819830246915,0.448785511739418,20,0,0
synthetic_cat_binary,persistent,1/2,20,0.4190567376060957,0.3780881539351852,0.45230135416666667,20,0,0
synthetic_cat_binary,persistent,7/10,20,0.4173907772197421,0.3743096746858466,0.455997337962963,20,0,0
synthetic_cat_binary,persistent,9/10,20,0.4034904183009688,0.27696493537808636,0.45805066229423874,20,0,0
synthetic_cat_binary,random,1/10,20,0.21696860773533952,0.09976076388888888,0.3518866464120371,20,0,0
synthetic_cat_binary,random,3/10,20,0.22756019899829147,0.14234090103248087,0.31201872244268086,20,0,0
synthetic_cat_binary,random,1/2,20,0.23340584992283953,0.17150902777777777,0.27800554398148153,20,0,0
synthetic_cat_binary,random,7/10,20,0.23645795359347443,0.19311959187610234,0.2911426249724427,20,0,0
synthetic_cat_binary,random,9/10,20,0.2207854398683985,0.07353639135373796,0.2827444958847737,20,0,0
synthetic_cat_binary,on_off,1/10,20,0.2036211805555556,-0.04387800925925922,0.4456268807870371,13,0,7
synthetic_cat_binary,on_off,3/10,20,0.20938969520456718,-0.043649553571428634,0.44855932126322756,17,0,3
synthetic_cat_binary,on_off,1/2,20,0.21259980324074076,-0.029598750000000007,0.45230135416666667,15,0,5
synthetic_cat_binary,on_off,7/10,20,0.2097154483575838,-0.03472232142857146,0.455997337962963,16,0,4
synthetic_cat_binary,on_off,9/10,20,0.19244333944187245,-0.13735312499999996,0.45805066229423874,15,0,5
synthetic_cat_tie,persistent,1/10,20,0.020446455573774006,-0.07493319026491768,0.09864566347307957,14,0,6
synthetic_cat_tie,persistent,3/10,20,0.003645907784024102,-0.03532919284612002,0.042699580439814866,11,0,9
synthetic_cat_tie,persistent,1/2,20,-0.00011339144483024644,-0.0030375385802469124,0.0032796730324074486,8,0,12
synthetic_cat_tie,persistent,7/10,20,-0.0006334018936471286,-0.031953137860082304,0.0414749090608465,9,0,11
synthetic_cat_tie,persistent,9/10,20,0.009192647113983201,-0.07584552469135802,0.15283159079218106,8,0,12
synthetic_cat_tie,random,1/10,20,0.0016393973176011517,-0.10183240579989716,0.13288860328789437,10,0,10
synthetic_cat_tie,random,3/10,20,0.0018911682810662882,-0.10940252907297171,0.08008172306731332,11,0,9
synthetic_cat_tie,random,1/2,20,0.009496977285879634,-0.0844266579861111,0.06502372395833333,12,0,8
synthetic_cat_tie,random,7/10,20,0.010156962551899618,-0.06346719025573194,0.11892407614087303,10,0,10
synthetic_cat_tie,random,9/10,20,0.01913059804741084,-0.07923684735082309,0.20436876875428667,9,0,11
synthetic_cat_tie,on_off,1/10,20,0.0015917109267832602,-0.11486893432784645,0.09864566347307957,11,0,9
synthetic_cat_tie,on_off,3/10,20,-0.0015058910199882397,-0.07344504726080248,0.08850768504739859,9,0,11
synthetic_cat_tie,on_off,1/2,20,0.00283259355709877,-0.04521763888888891,0.06134721547067906,11,0,9
synthetic_cat_tie,on_off,7/10,20,-0.0022513086052322216,-0.07937860426771015,0.07235836915784832,9,0,11
synthetic_cat_tie,on_off,9/10,20,0.010215383176869,-0.07717387902949246,0.1892102409122085,8,0,12
