dataset,rho,comparator,selector_seed_index,n_malicious_subsets,mean_loss_delta_lir_minus_comparator,median_loss_delta_lir_minus_comparator,within_seed_subset_sd,paper_metric
dog,1/2,crh,9,20,-0.13448134492633237,-0.13124611712914963,0.031419952754792785,0.6064059603242712
dog,1/2,crh,10,20,-0.10262201213022873,-0.10195483459731325,0.023899533004136664,0.6064059603242712
dog,1/2,crh,11,20,-0.09645679674355659,-0.09535518612661809,0.022072868136264728,0.6064059603242712
dog,1/2,crh,12,20,-0.14271809438915634,-0.1395513906706023,0.029550505586102695,0.6064059603242712
dog,1/2,crh,13,20,-0.09780593457929979,-0.09644445400768109,0.02439375753658089,0.6064059603242712
dog,1/2,crh,14,20,-0.10224803904756963,-0.10276881538510274,0.025767138440088894,0.6064059603242712
dog,1/2,crh,15,20,-0.1031437124448765,-0.10528602738551918,0.021615962467170714,0.6064059603242712
dog,1/2,crh,16,20,-0.1292253727668972,-0.12345109088467965,0.02976098922680527,0.6064059603242712
dog,1/2,crh,17,20,-0.07045020808672386,-0.07135469662799726,0.017219757413790084,0.6064059603242712
dog,1/2,crh,18,20,-0.11937215620386517,-0.11696353653758668,0.025856437475578656,0.6064059603242712
dog,1/2,crh,19,20,-0.10210568426851378,-0.10400516496962137,0.02604799967074768,0.6064059603242712
dog,1/2,crh,20,20,-0.0996593133863917,-0.09808974828591444,0.024232047113635555,0.6064059603242712
dog,1/2,pptd_liang,1,20,-0.11077077720528897,-0.10654020809692161,0.023539129018023852,0.6064059603242712
dog,1/2,pptd_liang,2,20,-0.0931944992615091,-0.09464679405900572,0.019392961795450456,0.6064059603242712
dog,1/2,pptd_liang,3,20,-0.1005218386465689,-0.10207917574859832,0.02254949465179449,0.6064059603242712
dog,1/2,pptd_liang,4,20,-0.1471024209855129,-0.1477637042868351,0.027306469897425197,0.6064059603242712
dog,1/2,pptd_liang,5,20,-0.11577447687027417,-0.11002251301918792,0.024687375768778632,0.6064059603242712
dog,1/2,pptd_liang,6,20,-0.08592596431678359,-0.08243870722428526,0.02116823787217111,0.6064059603242712
dog,1/2,pptd_liang,7,20,-0.10640637204893628,-0.10671040798686221,0.024593657655758504,0.6064059603242712
dog,1/2,pptd_liang,8,20,-0.13481095722352254,-0.1327534427091122,0.026402583158812096,0.6064059603242712
dog,1/2,pptd_liang,9,20,-0.13455983925776516,-0.13124611712914963,0.03149012741143685,0.6064059603242712
dog,1/2,pptd_liang,10,20,-0.10274518438874136,-0.10237600441415828,0.024013084976201447,0.6064059603242712
dog,1/2,pptd_liang,11,20,-0.09657717339256675,-0.09577559183239026,0.02200286399054236,0.6064059603242712
dog,1/2,pptd_liang,12,20,-0.1428517608680878,-0.1395513906706023,0.02962214142326036,0.6064059603242712
dog,1/2,pptd_liang,13,20,-0.09788151763167023,-0.09686569277816859,0.02442055608177394,0.6064059603242712
dog,1/2,pptd_liang,14,20,-0.10226901403956398,-0.10327254849157697,0.025873907977299423,0.6064059603242712
dog,1/2,pptd_liang,15,20,-0.10327339937190745,-0.10580753112991703,0.021675823349260142,0.6064059603242712
dog,1/2,pptd_liang,16,20,-0.12935211132507438,-0.12387570993403274,0.02981173113043875,0.6064059603242712
dog,1/2,pptd_liang,17,20,-0.07052693712184949,-0.07184534754938993,0.017258459027797976,0.6064059603242712
dog,1/2,pptd_liang,18,20,-0.11949761864058246,-0.11696353653758668,0.025948420537738496,0.6064059603242712
dog,1/2,pptd_liang,19,20,-0.10223384911707374,-0.10405644243109835,0.02612517418525184,0.6064059603242712
dog,1/2,pptd_liang,20,20,-0.099782496371379,-0.09827801526228364,0.024277726178047136,0.6064059603242712
dog,1/2,tqpp_liu,1,20,-0.09257294895136117,-0.0871867635204625,0.021264249806127764,0.6064059603242712
dog,1/2,tqpp_liu,2,20,-0.07484567966725997,-0.07459040382672721,0.018602347963658762,0.6064059603242712
dog,1/2,tqpp_liu,3,20,-0.0818999785749909,-0.0798951304681953,0.02191809057939345,0.6064059603242712
dog,1/2,tqpp_liu,4,20,-0.12880644077062592,-0.1328484968189828,0.025160180307685753,0.6064059603242712
dog,1/2,tqpp_liu,5,20,-0.09730110406613968,-0.09378342538690893,0.02285050013544325,0.6064059603242712
dog,1/2,tqpp_liu,6,20,-0.06784568482215168,-0.06393434647575313,0.018611571627002967,0.6064059603242712
dog,1/2,tqpp_liu,7,20,-0.08785793033605338,-0.08797162545872866,0.02346815697589934,0.6064059603242712
dog,1/2,tqpp_liu,8,20,-0.11600673671716691,-0.11684956706582156,0.02456491882699124,0.6064059603242712
dog,1/2,tqpp_liu,9,20,-0.11635000663050218,-0.1188521734335935,0.029266089396932385,0.6064059603242712
dog,1/2,tqpp_liu,10,20,-0.0843993078345543,-0.08091358365228335,0.022165478697128926,0.6064059603242712
dog,1/2,tqpp_liu,11,20,-0.07774355053304416,-0.0768317620440403,0.01973888014169207,0.6064059603242712
dog,1/2,tqpp_liu,12,20,-0.12434045200020427,-0.12621748285159812,0.027863881891177923,0.6064059603242712
dog,1/2,tqpp_liu,13,20,-0.07982414499010479,-0.08032589944896956,0.023027279918593428,0.6064059603242712
dog,1/2,tqpp_liu,14,20,-0.0837067091075358,-0.08303191712253,0.02440156475734703,0.6064059603242712
dog,1/2,tqpp_liu,15,20,-0.08451155198814471,-0.08427059963453093,0.019222306996956942,0.6064059603242712
dog,1/2,tqpp_liu,16,20,-0.11066552746591654,-0.10883044909001799,0.02792908036968035,0.6064059603242712
dog,1/2,tqpp_liu,17,20,-0.05232074318035631,-0.052176725643165056,0.014960311714916224,0.6064059603242712
dog,1/2,tqpp_liu,18,20,-0.10050210686517384,-0.0983687179121227,0.023914883112682774,0.6064059603242712
dog,1/2,tqpp_liu,19,20,-0.08376555562720013,-0.08855274386636314,0.024658593327700234,0.6064059603242712
dog,1/2,tqpp_liu,20,20,-0.08183673606678861,-0.08382954566307105,0.022228622388424817,0.6064059603242712
dog,3/10,crh,1,20,-0.03524578688667808,-0.03037759198402723,0.020978952613232866,0.7441859778733776
dog,3/10,crh,2,20,-0.030905867728433373,-0.028426936366999167,0.019934382076366434,0.7441859778733776
dog,3/10,crh,3,20,-0.034125952951293274,-0.030205502157886255,0.014851832641864066,0.7441859778733776
dog,3/10,crh,4,20,-0.05166329681466549,-0.045543183233952234,0.027036225752057177,0.7441859778733776
dog,3/10,crh,5,20,-0.03847303705039685,-0.035964545347285104,0.019526761236765486,0.7441859778733776
dog,3/10,crh,6,20,-0.032022497698264055,-0.026509946869352263,0.018208816546398218,0.7441859778733776
dog,3/10,crh,7,20,-0.041585570794830704,-0.03500308924042572,0.01841215795671649,0.7441859778733776
dog,3/10,crh,8,20,-0.04787031542824556,-0.0417354048959791,0.02224988027947194,0.7441859778733776
dog,3/10,crh,9,20,-0.046288612590265996,-0.035584591779991126,0.02591030939934641,0.7441859778733776
dog,3/10,crh,10,20,-0.03614707545301939,-0.03206905939820004,0.018780234682074383,0.7441859778733776
dog,3/10,crh,11,20,-0.03253566784365192,-0.030013803124042504,0.015636093759887598,0.7441859778733776
dog,3/10,crh,12,20,-0.04961982185771818,-0.04642748083715548,0.023555846507507937,0.7441859778733776
dog,3/10,crh,13,20,-0.037522414998528625,-0.030027215268779606,0.018549538772628403,0.7441859778733776
dog,3/10,crh,14,20,-0.037584179798633585,-0.032857295894937466,0.019036398849055742,0.7441859778733776
dog,3/10,crh,15,20,-0.03617384418705074,-0.030231211642357092,0.020510095243552018,0.7441859778733776
dog,3/10,crh,16,20,-0.048412556615556324,-0.04351268806430719,0.022312980020011475,0.7441859778733776
dog,3/10,crh,17,20,-0.023910094764796802,-0.021576881526660985,0.014138498766129364,0.7441859778733776
dog,3/10,crh,18,20,-0.042574440971899344,-0.03836200454839245,0.022039936981178208,0.7441859778733776
dog,3/10,crh,19,20,-0.034078121241558526,-0.028242679279758542,0.019996505809326562,0.7441859778733776
dog,3/10,crh,20,20,-0.031567092115826555,-0.028324393325898367,0.017707285190678358,0.7441859778733776
dog,3/10,pptd_liang,1,20,-0.035366207865626,-0.03069980589637067,0.021111289795239768,0.7441859778733776
dog,3/10,pptd_liang,2,20,-0.031027993220171236,-0.029011933309007254,0.0200515143105938,0.7441859778733776
dog,3/10,pptd_liang,3,20,-0.034245120618088154,-0.030205502157886255,0.014928441211924711,0.7441859778733776
dog,3/10,pptd_liang,4,20,-0.05178480435100109,-0.045543183233952234,0.02720331937165883,0.7441859778733776
dog,3/10,pptd_liang,5,20,-0.03859359438657009,-0.035964545347285104,0.01961091083769147,0.7441859778733776
dog,3/10,pptd_liang,6,20,-0.032142303624486536,-0.026509946869352263,0.018268306574876228,0.7441859778733776
dog,3/10,pptd_liang,7,20,-0.04170501634995268,-0.03540187575253567,0.01849173352635934,0.7441859778733776
dog,3/10,pptd_liang,8,20,-0.04798864556404805,-0.0417354048959791,0.02236793994934881,0.7441859778733776
