dataset,rho,comparator,selector_seed_n,mean_loss_delta_lir_minus_comparator,median_seed_mean_delta,between_seed_sd,bootstrap95_low_seed_unit,bootstrap95_high_seed_unit,exact_seed_level_sign_flip_p,holm_adjusted_seed_level_p,seed_mean_wins,seed_mean_ties,seed_mean_losses,mean_direction,holm_direction,paper_metric
duck,3/10,tqpp_liu,20,-0.0317804269269376,-0.031445029027576184,0.02029481135441407,-0.04017200891724894,-0.022954032176378862,1.1444091796875e-05,4.57763671875e-05,18,0,2,lir_win,lir_win,0.7596153846153846
duck,7/10,crh,20,-0.11512165254803775,-0.10651605675877518,0.05510470929851283,-0.1387708232525542,-0.09243218319989321,1.9073486328125e-06,3.814697265625e-05,20,0,0,lir_win,lir_win,0.47115384615384615
duck,7/10,pptd_liang,20,-0.11512165254803775,-0.10651605675877518,0.05510470929851283,-0.13964845497377382,-0.09210302741111506,1.9073486328125e-06,3.814697265625e-05,20,0,0,lir_win,lir_win,0.47115384615384615
duck,7/10,tqpp_liu,20,0.01993093645574098,0.03173076923076923,0.055685105150072516,-0.0036308716857973294,0.04344576557591867,0.12514305114746094,0.2502861022949219,7,0,13,lir_loss,not_significant,0.47115384615384615
duck,9/10,crh,20,-0.01762868829144095,-0.018418040293040297,0.017974565760076937,-0.025068887045624644,-0.009970783446334588,0.0003795623779296875,0.0011386871337890625,17,0,3,lir_win,lir_win,0.20192307692307687
duck,9/10,pptd_liang,20,-0.01762868829144095,-0.018418040293040297,0.017974565760076937,-0.02539336580043359,-0.00992587407717492,0.0003795623779296875,0.000759124755859375,17,0,3,lir_win,lir_win,0.20192307692307687
duck,9/10,tqpp_liu,20,0.04613970026258906,0.04943249405233942,0.019738924161777305,0.037780942513412984,0.0544057099762982,1.9073486328125e-06,3.814697265625e-05,0,0,20,lir_loss,lir_loss,0.20192307692307687
product,1/10,crh,20,-0.047092607796965905,-0.04670233445225201,0.004968739697053088,-0.04920665983254495,-0.044865383132029354,1.9073486328125e-06,3.814697265625e-05,20,0,0,lir_win,lir_win,0.7491256318079604
product,1/10,pptd_liang,20,-0.047092607796965905,-0.04670233445225201,0.004968739697053088,-0.049182945667354615,-0.045027271693643706,1.9073486328125e-06,3.814697265625e-05,20,0,0,lir_win,lir_win,0.7491256318079604
product,1/10,tqpp_liu,20,-0.04699755007960171,-0.046608809219420566,0.004968232483478403,-0.04910030947033985,-0.04488858183578927,1.9073486328125e-06,3.814697265625e-05,20,0,0,lir_win,lir_win,0.7491256318079604
product,1/2,crh,20,-0.13827569285816227,-0.1387605038727804,0.006011073262376314,-0.1408127911882656,-0.1357219814845558,1.9073486328125e-06,3.814697265625e-05,20,0,0,lir_win,lir_win,0.5359420664721672
product,1/2,pptd_liang,20,-0.13827569285816227,-0.1387605038727804,0.006011073262376314,-0.14091219210670125,-0.13575476907298306,1.9073486328125e-06,3.814697265625e-05,20,0,0,lir_win,lir_win,0.5359420664721672
product,1/2,tqpp_liu,20,-0.13810121345731755,-0.1385804810887469,0.006012020593217021,-0.14068615940680168,-0.13553860170576443,1.9073486328125e-06,3.814697265625e-05,20,0,0,lir_win,lir_win,0.5359420664721672
product,3/10,crh,20,-0.10825333717567691,-0.10839618192581069,0.00659743905919949,-0.11107804543423701,-0.10541702772643644,1.9073486328125e-06,3.814697265625e-05,20,0,0,lir_win,lir_win,0.6159377521978007
product,3/10,pptd_liang,20,-0.10825333717567691,-0.10839618192581069,0.00659743905919949,-0.11111413697021107,-0.10546144860149928,1.9073486328125e-06,3.814697265625e-05,20,0,0,lir_win,lir_win,0.6159377521978007
product,3/10,tqpp_liu,20,-0.10810941500534062,-0.10825643661069032,0.006597457713165387,-0.11093912303306155,-0.10527321229898343,1.9073486328125e-06,3.814697265625e-05,20,0,0,lir_win,lir_win,0.6159377521978007
product,7/10,crh,20,-0.16123146726151777,-0.16178733210692703,0.00651470958057865,-0.1639797911120656,-0.1584916620491713,1.9073486328125e-06,3.814697265625e-05,20,0,0,lir_win,lir_win,0.4485141519871647
product,7/10,pptd_liang,20,-0.16123146726151777,-0.16178733210692703,0.00651470958057865,-0.16402422877657633,-0.15842117260730146,1.9073486328125e-06,3.814697265625e-05,20,0,0,lir_win,lir_win,0.4485141519871647
product,7/10,tqpp_liu,20,-0.16106978882397313,-0.16161764905834777,0.0065152935154557026,-0.16388126621740687,-0.15819866265228724,1.9073486328125e-06,3.814697265625e-05,20,0,0,lir_win,lir_win,0.4485141519871647
product,9/10,crh,20,-0.14542616348825363,-0.1459776128798318,0.007266172896866194,-0.14844225846414758,-0.14225499302597494,1.9073486328125e-06,3.814697265625e-05,20,0,0,lir_win,lir_win,0.3657112371121134
