dataset,rho,n,comparator,candidate_mean_loss,comparator_mean_loss,mean_loss_delta_lir_minus_comparator,wins,ties,losses,bootstrap_95_ci_low,bootstrap_95_ci_high,bootstrap_seed,exact_two_sided_sign_flip_p,paired_rank_biserial,holm_family,holm_adjusted_p,holm_significant,direction,holm_direction
product,7/10,20,pptd_liang,0.5328119215139975,0.6957771031299778,-0.1629651816159802,20,0,0,-0.16958934354561866,-0.15592791410787232,15402298713232674223,1.9073486328125e-06,-1.0,B1|pptd_liang|20-cells,3.814697265625e-05,True,lir_win,lir_win
product,7/10,20,tqpp_liu,0.5328119215139975,0.6956059347885806,-0.16279401327458298,20,0,0,-0.16938473617784094,-0.155537230022004,18068997439390697395,1.9073486328125e-06,-1.0,B1|tqpp_liu|20-cells,3.814697265625e-05,True,lir_win,lir_win
product,9/10,20,crh,0.6962678290411464,0.846643495836204,-0.1503756667950576,20,0,0,-0.15570389293678452,-0.14502815152968493,18036538290257294811,1.9073486328125e-06,-1.0,B1|crh|20-cells,3.814697265625e-05,True,lir_win,lir_win
product,9/10,20,pptd_liang,0.6962678290411464,0.846643495836204,-0.1503756667950576,20,0,0,-0.15597865362933985,-0.14496578296662246,12539087029174382449,1.9073486328125e-06,-1.0,B1|pptd_liang|20-cells,3.814697265625e-05,True,lir_win,lir_win
product,9/10,20,tqpp_liu,0.6962678290411464,0.8465568407150176,-0.15028901167387124,20,0,0,-0.15571960998660508,-0.14491346074684222,11666553588714348260,1.9073486328125e-06,-1.0,B1|tqpp_liu|20-cells,3.814697265625e-05,True,lir_win,lir_win
duck,1/10,20,crh,0.26298076923076924,0.24711538461538463,0.015865384615384618,1,3,16,0.010096153846153828,0.022115384615384634,4620234492293381302,0.0001068115234375,0.9281045751633987,B1|crh|20-cells,0.000640869140625,True,lir_loss,lir_loss
duck,1/10,20,pptd_liang,0.26298076923076924,0.24711538461538463,0.015865384615384618,1,3,16,0.009615384615384614,0.022596153846153842,4584744697042436340,0.0001068115234375,0.9281045751633987,B1|pptd_liang|20-cells,0.0005340576171875,True,lir_loss,lir_loss
duck,1/10,20,tqpp_liu,0.26298076923076924,0.21682692307692308,0.046153846153846156,1,1,18,0.030288461538461535,0.0625,4188575269908506225,4.1961669921875e-05,0.9315789473684211,B1|tqpp_liu|20-cells,0.000335693359375,True,lir_loss,lir_loss
duck,3/10,20,crh,0.2668269230769231,0.2620192307692308,0.004807692307692309,9,1,10,-0.005769230769230768,0.016826923076923066,15288112496420685315,0.42995452880859375,0.21052631578947367,B1|crh|20-cells,0.8599090576171875,False,lir_loss,not_significant
duck,3/10,20,pptd_liang,0.2668269230769231,0.2620192307692308,0.004807692307692309,9,1,10,-0.005769230769230771,0.016346153846153844,11970390624390435462,0.42995452880859375,0.21052631578947367,B1|pptd_liang|20-cells,0.87890625,False,lir_loss,not_significant
duck,3/10,20,tqpp_liu,0.2668269230769231,0.26538461538461544,0.001442307692307683,6,3,11,-0.05384615384615384,0.03749999999999999,8814023488718759768,0.9912872314453125,0.48366013071895425,B1|tqpp_liu|20-cells,1.0,False,lir_loss,not_significant
duck,1/2,20,crh,0.36153846153846153,0.5456730769230769,-0.1841346153846154,20,0,0,-0.2139423076923077,-0.1548076923076923,18094469417969762041,1.9073486328125e-06,-1.0,B1|crh|20-cells,3.814697265625e-05,True,lir_win,lir_win
duck,1/2,20,pptd_liang,0.36153846153846153,0.5456730769230769,-0.1841346153846154,20,0,0,-0.2144230769230769,-0.15528846153846154,5206875012999473363,1.9073486328125e-06,-1.0,B1|pptd_liang|20-cells,3.814697265625e-05,True,lir_win,lir_win
duck,1/2,20,tqpp_liu,0.36153846153846153,0.4254807692307693,-0.06394230769230769,11,1,8,-0.14615384615384613,0.012019230769230763,17112430200312607422,0.13397216796875,-0.35789473684210527,B1|tqpp_liu|20-cells,0.40191650390625,False,lir_win,not_significant
duck,7/10,20,crh,0.5158653846153846,0.7225961538461538,-0.20673076923076922,20,0,0,-0.23028846153846155,-0.18076923076923074,18368465907919645734,1.9073486328125e-06,-1.0,B1|crh|20-cells,3.814697265625e-05,True,lir_win,lir_win
duck,7/10,20,pptd_liang,0.5158653846153846,0.7225961538461538,-0.20673076923076922,20,0,0,-0.23076923076923075,-0.18124999999999997,1321771520372038587,1.9073486328125e-06,-1.0,B1|pptd_liang|20-cells,3.814697265625e-05,True,lir_win,lir_win
duck,7/10,20,tqpp_liu,0.5158653846153846,0.5899038461538462,-0.07403846153846154,14,0,6,-0.13365384615384618,-0.01057692307692307,8648914450322781683,0.035099029541015625,-0.5142857142857142,B1|tqpp_liu|20-cells,0.1403961181640625,False,lir_win,not_significant
duck,9/10,20,crh,0.7668269230769231,0.7692307692307693,-0.002403846153846155,9,2,9,-0.01201923076923079,0.007692307692307686,11467712248338306501,0.664825439453125,-0.12280701754385964,B1|crh|20-cells,0.8599090576171875,False,lir_win,not_significant
duck,9/10,20,pptd_liang,0.7668269230769231,0.7692307692307693,-0.002403846153846155,9,2,9,-0.0125,0.007692307692307705,3841842444271533329,0.664825439453125,-0.12280701754385964,B1|pptd_liang|20-cells,0.87890625,False,lir_win,not_significant
